Year,EAV Code,Waste Description,Number Of Companies,Amount Of Waste Generated (1000t)
2010,EAV-160803-U,Used catalysts with transition metals,19.0,1.1
2010,EAV-160804-U,Used catalysts v. Cracking process (oh. 160807),10.0,3.8
2010,EAV-160805-G,Used catalysts with phosphoric acid,4.0,0.2
2010,EAV-160806-G,Used fluids (catalysts),7.0,0.8
2010,EAV-160807-G,Used catalysts with hazardous substances,64.0,5.3
2010,EAV-160901-G,"Permanganate, z.B. Potassium permanganate",,
2010,EAV-160902-G,"Chromates (potassium chromate, potassium or sodium dichromate)",3.0,0.0
2010,EAV-160903-G,"Peroxides, e.g. hydrogen peroxide",11.0,0.0
2010,EAV-160904-G,Oxidizing substances n.e.c.,,
2010,EAV-161001-G,Aqueous liquid waste containing hazardous substances,108.0,10.1
2010,EAV-161002-U,Aqueous liquid waste (excluding 161001),144.0,35.0
2010,EAV-161003-G,Aqueous concentrates with dangerous substances,76.0,7.0
2010,EAV-161004-U,Aqueous concentrates (without 161003),13.0,13.4
2010,EAV-161101-G,Metallurgical refractory materials. processes,17.0,4.8
2010,EAV-161102-U,Refractory mat. from metallurg. percent (oh.161101),35.0,5.4
2010,EAV-161103-G,Other linings and fireproof materials,40.0,9.9
2010,EAV-161104-U,Refractory mat. from metallurg. percent (oh.161103),230.0,288.1
2010,EAV-161105-G,Nonmetallurgical refractory materials. percent,55.0,13.3
2010,EAV-161106-U,Refractory material a. non-metallurgical process (oh.161105),121.0,27.8
2010,EAV-17,construction and demolition waste,,
2010,EAV-170101-U,Concrete,884.0,909.7
2010,EAV-170102-U,brick,350.0,47.5
2010,EAV-170103-U,tiles and ceramics,270.0,17.6
2010,EAV-170106-G,"Mixtures of o. separate fractions v. Concrete, etc.",299.0,125.1
2010,EAV-170107-U,"Mixtures of concrete, bricks, etc. (oh.170106)",2269.0,819.7
2010,EAV-170201-U,Holz,3471.0,192.2
2010,EAV-170202-U,Glas,549.0,20.2
2010,EAV-170203-U,plastic,669.0,21.6
2010,EAV-170204-G,"Glass, plastic and wood containing dangerous substances",877.0,160.4
2010,EAV-170301-G,Bitumen mixtures containing coal tar,230.0,100.7
2010,EAV-170302-U,Bitumen mixtures (without 170301),376.0,161.9
2010,EAV-170303-G,Coal tar and tarry products,220.0,9.4
2010,EAV-170401-U,"copper, bronze, brass",774.0,19.6
2010,EAV-170402-U,Aluminium,1329.0,56.0
2010,EAV-170403-U,Nappy,66.0,0.2
2010,EAV-170404-U,Zink,57.0,8.2
2010,EAV-170405-U,iron and Steel,2991.0,1268.1
2010,EAV-170406-U,Zinn,40.0,0.4
2010,EAV-170407-U,mixed metals,1558.0,347.4
2010,EAV-170409-G,Metal waste with hazardous substances,96.0,17.1
2010,EAV-170410-G,"Cables hazardous to oil, coal tar, etc. Substances included",125.0,2.0
2010,EAV-170411-U,Cable (without 170410),1396.0,186.7
2010,EAV-170503-G,Soil and stones containing hazardous substances,335.0,535.8
2010,EAV-170504-U,soil and stones (without 170503),688.0,2376.5
2010,EAV-170505-G,Dredged material containing dangerous substances,8.0,0.7
2010,EAV-170506-U,dredged material (without 170505),29.0,403.6
2010,EAV-170507-G,Track ballast containing dangerous substances,21.0,416.2
2010,EAV-170508-U,Track ballast (without 170507),45.0,2147.9
2010,EAV-170601-G,Insulation material containing asbestos,47.0,0.5
2010,EAV-170603-G,other insulation material,1162.0,17.9
2010,EAV-170604-U,Insulating material (without 170601 and 170603),486.0,20.1
2010,EAV-170605-G,Building materials containing asbestos,717.0,17.8
2010,EAV-170801-G,Contaminated gypsum-based building materials,5.0,0.1
2010,EAV-170802-U,Gypsum-based building materials (excluding 170801),449.0,55.6
2010,EAV-170901-G,Construction and demolition waste containing mercury,9.0,0.4
2010,EAV-170902-G,Construction and demolition waste containing PCBs,29.0,0.6
2010,EAV-170903-G,Other construction and demolition waste,94.0,10.2
2010,EAV-170904-U,Mixed construction and demolition work. (oh.170901-170903),2971.0,166.2
2010,EAV-18,Waste from medical care,,
2010,EAV-180101-U,Pointed or sharp objects (except 180103),92.0,1.2
2010,EAV-180102-U,"Body parts, organs, blood supplies (except 180103)",518.0,2.9
2010,EAV-180103-G,Waste (particular requirements from an infection prevention perspective),724.0,11.5
2010,EAV-180104-U,"Wound, plaster bandages, laundry, disposable clothing, diapers",613.0,222.1
2010,EAV-180106-G,Chemicals composed of hazardous substances,52.0,0.3
2010,EAV-180107-U,Chemicals (excluding 180106),22.0,0.7
2010,EAV-180108-G,cytotoxic. and cytostatic drugs for humans,493.0,2.7
2010,EAV-180109-U,Medicines (without 180108),152.0,7.0
2010,EAV-180110-G,Dental amalgam waste,12.0,0.0
2010,EAV-180201-U,Pointed or sharp objects (without 180202),6.0,0.0
2010,EAV-180202-G,Waste (particular requirements from an infection prevention perspective),43.0,0.5
2010,EAV-180203-U,Waste (without special requirements from an infection prevention point of view),44.0,1.9
2010,EAV-180205-G,Chemicals consisting of dangerous substances,5.0,0.0
2010,EAV-180206-U,Chemicals (excluding 180205),5.0,0.0
2010,EAV-180207-G,Cytotoxic and. cytostatic drugs for animals,3.0,0.0
2010,EAV-180208-U,Medicines (without 180207),7.0,0.0
2010,EAV-19,Waste from waste treatment plants e.g.,,
2010,EAV-190102-U,"Combustion, pyrolysis: iron parts a. rust and. boiler ash",4.0,1.9
2010,EAV-190105-G,"Combustion, pyrolysis: filter cake from exhaust gas treatment.",8.0,11.9
2010,EAV-190106-G,"Combustion, pyrolysis: Aqueous liquid waste from exhaust gas tank.",8.0,15.2
2010,EAV-190107-G,"Combustion, pyrolysis: solid waste a. Exhaust gas treatment",17.0,26.0
2010,EAV-190110-G,"Combustion, pyrolysis: Used activated carbon a. flue gas treatment",5.0,0.0
2010,EAV-190111-G,"Combustion, pyrolysis: rust, boiler ash, slag",22.0,56.9
2010,EAV-190112-U,Grate and boiler ash as well as slag (oh.190111),48.0,363.7
2010,EAV-190113-G,"Combustion, pyrolysis: filter dust with dangerous St.",18.0,29.8
2010,EAV-190114-U,Filter dust (without 190113),5.0,26.2
2010,EAV-190115-G,"Combustion, pyrolysis: boiler dust is dangerous. substances",3.0,1.5
2010,EAV-190116-U,Boiler dust (without 190115),,
2010,EAV-190117-G,Pyrolysis waste containing dangerous substances,4.0,0.2
2010,EAV-190118-U,Pyrolysis waste (without 190117),3.0,0.1
2010,EAV-190119-U,"Combustion, pyrolysis: sands from fluidized bed combustion",,
2010,EAV-190199-U,"Incineration, pyrolysis of waste: wastes not otherwise specified",,
2010,EAV-190203-U,Premixed waste from non-hazardous waste,4.0,0.2
2010,EAV-190204-G,Premixed waste with at least one hazardous waste,7.0,0.0
2010,EAV-190205-G,Sludge from physical and chemical treatment,243.0,32.4
2010,EAV-190206-U,sludge a. physical-chemical treatment (oh.190205),32.0,1.4
2010,EAV-190207-G,Oil and concentrates from separation processes,42.0,8.5
2010,EAV-190208-G,Liquid combustible waste with hazardous substances,,
2010,EAV-190209-G,Solid combustible waste containing hazardous substances,,
2010,EAV-190210-U,Combustible waste (excluding 190208 and 190209),3.0,0.1
2010,EAV-190211-G,Other wastes containing dangerous substances,22.0,0.3
2010,EAV-19029900-U,physics.-chem. Treatment of waste: waste not otherwise specified,,
2010,EAV-19029950-U,Products resulting from waste treatment,,
2010,EAV-190304-G,as dangerous classified partially stabilized Abf.,,
2010,EAV-190305-U,Stabilized waste (without 190304),4.0,1.9
2010,EAV-190306-G,Solidified waste classified as hazardous,,
2010,EAV-190307-U,Solidified waste (excluding 190306),,
2010,EAV-190401-U,Vitrified waste,,
2010,EAV-190402-G,Filter dust and other waste from exhaust gas treatment,,
2010,EAV-190403-G,Non-vitrified solid phase,,
2010,EAV-190404-U,Aqueous liquid waste from tempering,,
2010,EAV-190501-U,Non-composted fraction of municipal waste,3.0,0.0
2010,EAV-190502-U,Non-composted fraction v. animal and plant waste,,
2010,EAV-190503-U,Out of specification compost,,
2010,EAV-19059900-U,waste not otherwise specified not differentiable,,
2010,EAV-19059901-U,Compost (to specification),8.0,1.0
2010,EAV-190603-U,Liquids from treatment of municipal waste,,
2010,EAV-190604-U,Digestate/sludge from tank v.municipal waste,,
2010,EAV-190605-U,liquids from container v. animal and plant waste,,
2010,EAV-190606-U,Digestate/sludge a. Container for animal and plant waste,,
2010,EAV-190699-U,Anaerobic treatment of waste: waste n.e.c.,,
2010,EAV-190702-G,"Landfill leachate, the hazardous contains substances",,
2010,EAV-190703-U,Landfill leachate (without 190702),4.0,174.3
2010,EAV-190801-U,Sieving and rake residues,129.0,15.9
2010,EAV-190802-U,sand trap residues,134.0,19.5
2010,EAV-190805-U,Sludge from the treatment of v. municipal wastewater,41.0,302.4
2010,EAV-190806-G,Saturated or spent ion exchange resins,56.0,0.2
2010,EAV-190807-G,Solutions and sludges from regeneration of ion exchange.,,
2010,EAV-190808-G,Waste containing heavy metals from membrane systems,,
2010,EAV-190809-U,Fat and oil mixtures from oil separators (edible oils),207.0,15.1
2010,EAV-190810-G,Fat and oil mixtures from oil separators (oh.190809),27.0,0.6
2010,EAV-190811-G,Sludge from biological treatment of industrial wastewater,19.0,310.5
2010,EAV-190812-U,sludge a. biological treatment of industrial waste water (oh.190811),70.0,524.0
2010,EAV-190813-G,Slurries with hazardous Substances from industrial waste water,122.0,117.9
2010,EAV-190814-U,Sludge from industrial wastewater (excluding 190813),312.0,92.2
2010,EAV-190899-U,Wastewater treatment plants: wastes n.e.c.,16.0,12.1
2010,EAV-190901-U,Solid waste from first filtration and screenings,33.0,12.3
2010,EAV-190902-U,sludge from water purification,151.0,165.1
2010,EAV-190903-U,Slurries from decarbonization,41.0,168.7
2010,EAV-190904-U,Used activated carbon,61.0,1.5
2010,EAV-190905-U,Saturated or used ion exchange resins,114.0,1.8
2010,EAV-190906-U,Solutions and sludges from regeneration of ion exchange.,6.0,11.5
2010,EAV-190999-U,Industrial water: waste n.e.c.,7.0,2.0
2010,EAV-191001-U,Iron and steel waste,44.0,7.1
2010,EAV-191002-U,non-ferrous metal waste,15.0,2.5
2010,EAV-191003-G,Shredder light fractions and dust,,
2010,EAV-191004-U,Shredder light fractions and dust (without 191003),3.0,0.1
2010,EAV-191005-G,Other factions that are dangerous contain substances,,
2010,EAV-191006-U,Other factions (without 191005),5.0,4.5
2010,EAV-191101-G,Waste oil treatment: Used filter clays,10.0,3.1
2010,EAV-191102-G,Waste oil processing: acid tars,,
2010,EAV-191103-G,Waste oil processing: Aqueous liquid waste,,
2010,EAV-191104-G,Waste oil processing: Abf.a.d. Fuel cleaning with bases,,
2010,EAV-191105-G,Waste oil treatment: sludge (in-house waste water treatment),13.0,0.7
2010,EAV-191106-U,Sludge from operational. Waste water treatment (oh.191105),4.0,0.1
2010,EAV-191107-G,Waste oil treatment: Waste from exhaust gas cleaning,,
2010,EAV-19119900-U,waste not otherwise specified,3.0,0.0
2010,EAV-19119950-U,"Base oil (starting material for lubricant), (SK)",6.0,0.0
2010,EAV-19119951-U,"Lubricant, (SS)",6.0,0.0
2010,EAV-19119952-U,middle distillate component,,
2010,EAV-19119953-U,"Light heating oil (including diesel), (HL)",,
2010,EAV-19119954-U,Fuel oil heavy component,,
2010,EAV-19119955-U,Heavy fuel oil (HS),,
2010,EAV-19120100-U,"Mechanical waste treatment: paper, cardboard not diff.",230.0,62.0
2010,EAV-19120101-U,Mechanical waste treatment: lower grades (group I),66.0,55.8
2010,EAV-19120102-U,Mechanical waste treatment: medium grades (group II),28.0,10.2
2010,EAV-19120103-U,Mechanical Waste Treatment: Better Grades (Group III),30.0,7.7
2010,EAV-19120104-U,Mech.waste treatment: Powerful varieties (Gr.IV),3.0,0.6
2010,EAV-19120105-U,Mechanical waste treatment: special types (Group V),10.0,0.9
2010,EAV-191202-U,Mechanical waste treatment: ferrous metals,135.0,40.8
2010,EAV-191203-U,Mechanical waste treatment: non-ferrous metals,52.0,5.5
2010,EAV-191204-U,Mechanical waste treatment: plastic and rubber,219.0,53.2
2010,EAV-19120500-U,Mechanical waste treatment: Glass not differentiable,28.0,7.0
2010,EAV-19120501-U,Mechanical waste treatment: white glass,37.0,7.6
2010,EAV-19120502-U,Mechanical waste treatment: brown glass,16.0,1.9
2010,EAV-19120503-U,Mechanical waste treatment: green glass,19.0,2.1
2010,EAV-19120504-U,Mechanical waste treatment: stained glass,11.0,1.1
2010,EAV-19120505-U,Mechanical waste treatment: mixed glass,29.0,3.1
2010,EAV-191206-G,Mechanical waste treatment: wood with hazardous fabrics,10.0,1.9
2010,EAV-191207-U,Wood (without 191206),70.0,7.2
2010,EAV-191208-U,Mechanical waste treatment: textiles,8.0,2.8
2010,EAV-19120900-U,"Mechanical waste treatment: minerals (sand, stones)",41.0,35.1
2010,EAV-19120901-U,Products for use in road and road building,,
2010,EAV-19120902-U,Products for use in other earthworks,,
2010,EAV-19120903-U,Products f.d. Use in concrete mixing plants,,
2010,EAV-19120904-U,products for use in asphalt mixing plants,,
2010,EAV-19120905-U,products for other uses,,
2010,EAV-19120906-U,Hot mix for road and path construction,,
2010,EAV-191210-U,Combustible waste (fuel from waste),25.0,8.0
2010,EAV-191211-G,Other waste (including material mixtures),19.0,2.5
2010,EAV-191212-U,Other waste (without 191211),93.0,79.6
2010,EAV-191301-G,Solid waste from soil remediation,4.0,0.0
2010,EAV-191302-U,Solid waste from soil remediation (oh.191301),,
2010,EAV-191303-G,Sludge from soil remediation,3.0,0.3
2010,EAV-191304-U,Sludge from soil remediation (oh.191303),,
2010,EAV-191305-G,Sludges from groundwater remediation,6.0,0.1
2010,EAV-191306-U,Sludge from groundwater remediation (oh.191305),7.0,0.3
2010,EAV-191307-G,Aqueous waste and concentrates from groundwater remediation.,,
2010,EAV-191308-U,Aqueous waste and conc. a. groundwater sanitation (oh.191307),,
2010,EAV-20,Municipal waste (household waste and similar waste),,
2010,EAV-200101-U,paper and cardboard,8762.0,1363.7
2010,EAV-200102-U,Glas,1368.0,101.4
2010,EAV-200108-U,Biodegradable kitchen and canteen waste,3008.0,156.4
2010,EAV-200110-U,clothing,,
2010,EAV-200111-U,textiles,95.0,1.9
2010,EAV-200113-G,Solvents,313.0,1.6
2010,EAV-200114-G,acids,233.0,0.9
2010,EAV-200115-G,Lye,193.0,0.4
2010,EAV-200117-G,Photochemical,100.0,0.1
2010,EAV-200119-G,pesticides,,
2010,EAV-200121-G,Fluorescent tubes and other waste containing mercury,5252.0,8.1
2010,EAV-200123-G,Used devices with chlorofluorocarbons,665.0,1.0
2010,EAV-200125-U,edible oils and fats,539.0,38.8
2010,EAV-200126-G,Oils and fats (without 200125),162.0,4.2
2010,EAV-200127-G,"paints, inks, adhesives and synthetic resins",416.0,1.1
2010,EAV-200128-U,"Paints, printing inks, adhesives, synthetic resins (oh.200127)",122.0,0.3
2010,EAV-200129-G,Detergents containing dangerous substances,79.0,0.1
2010,EAV-200130-U,Cleaning agent (without 200129),48.0,0.1
2010,EAV-200131-G,Cytotoxic and cytostatic drugs,6.0,0.1
2010,EAV-200132-U,Medicines (without 200131),103.0,4.1
2010,EAV-200133-G,Batteries and accumulators (160601-160603),1044.0,1.5
2010,EAV-200134-U,Batteries and accumulators (excluding 200133),246.0,0.1
2010,EAV-200135-G,"Used electrical devices (oh.200121,200123)",3208.0,23.9
2010,EAV-200136-U,"Used electronic devices (without 200121, 200123, 200135)",1509.0,14.3
2010,EAV-200137-G,Wood containing dangerous substances,94.0,1.9
2010,EAV-200138-U,Wood (without 200137),1303.0,63.0
2010,EAV-200139-U,plastics,2641.0,115.6
2010,EAV-200140-U,metals,3771.0,445.0
2010,EAV-200141-U,waste from cleaning chimneys,7.0,0.2
2010,EAV-200199-U,Other fractions n.e.c.,91.0,5.1
2010,EAV-20019900-U,Other fractions n.e.c. not differentiable,,
2010,EAV-20019901-U,Mixed recyclables without light packaging,,
2010,EAV-200201-U,Biodegradable waste,3727.0,295.2
2010,EAV-200202-U,soil and stones,69.0,13.7
2010,EAV-200203-U,Other non-biodegradable waste,30.0,1.5
2010,EAV-20030100-U,Mixed municipal waste cannot be differentiated,3841.0,275.6
2010,EAV-20030101-U,"Household waste, commercial waste similar to household waste",4803.0,341.9
2010,EAV-20030102-U,Commercial waste similar to domestic waste,10600.0,912.2
2010,EAV-20030104-U,Waste from the bio bin,622.0,13.9
2010,EAV-200302-U,Market waste,37.0,4.2
2010,EAV-200303-U,street sweepings,509.0,40.4
2010,EAV-200304-U,Faecal sludge,268.0,49.0
2010,EAV-200306-U,Waste from sewer cleaning,163.0,13.4
2010,EAV-200307-U,Bulky waste,1817.0,44.8
2010,EAV-200399-U,Municipal waste n.e.c.,126.0,20.8
2010,EAV-99,Hazardous waste,,
2010,EAV-990000-G,Total hazardous waste,,
2010,,In total,19582.0,65328.8
2014,EAV-01,Waste from the extraction of mineral resources,,
2014,EAV-010101-U,Waste from mining v. metal-containing mineral resources,7.0,2.0
2014,EAV-010102-U,Waste from mining v. non-metal Mineral resources,5.0,4.9
2014,EAV-010304-G,Acid-forming processing residues a. sul. ore,,
2014,EAV-010305-G,Other processing residues with hazardous substances,,
2014,EAV-010306-U,Processing residues (without 010304 and 010305),3.0,3.2
2014,EAV-010307-G,Waste from processing metal-bearing mineral resources,,
2014,EAV-010308-U,Dusty and powdery waste (without 010307),5.0,1761.3
2014,EAV-010309-U,Red mud from aluminum oxide production (oh.010310),,
2014,EAV-010399-U,processing from metallh. Mineral resources: waste n.e.c.,,
2014,EAV-010407-G,Waste from further processing non-metal Mineral resources,,
2014,EAV-010408-U,Waste from crushed gravel and rock (excluding 010407),11.0,27.3
2014,EAV-010409-U,sand and clay waste,16.0,4.7
2014,EAV-010410-U,Dusty and powdery waste (without 010407),19.0,2.3
2014,EAV-010411-U,Waste from processing v.potash and rock salt (oh.010407),10.0,25.1
2014,EAV-010412-U,"reprocessing including waste (oh.010407,010411)",,
2014,EAV-010413-U,Waste from stonemasonry and sawing work (excluding 010407),20.0,99.1
2014,EAV-010499-U,processing v. non-metal Soil waste: waste n.e.c.,5.0,0.3
2014,EAV-010504-U,Sludge and waste from freshwater drilling,4.0,0.1
2014,EAV-010505-G,Oily drilling muds and wastes,5.0,0.4
2014,EAV-010506-G,Drilling muds and other drilling waste with hazardous fabrics,8.0,0.2
2014,EAV-010507-U,"Barite-bearing drillings, waste (oh.010505,010506)",,
2014,EAV-010508-U,"Chloride content. Drilling tubing waste (oh.010505,010506)",,
2014,EAV-010599-U,drilling mud and. other construction waste: waste not otherwise specified,,
2014,EAV-02,"Waste from agriculture, forestry, etc.",,
2014,EAV-020101-U,"Agriculture, among other things: sludge from washing and cleaning processes.",20.0,16.5
2014,EAV-020102-U,Agriculture i.a.: Waste from animal tissue,55.0,73.4
2014,EAV-020103-U,"Agriculture, among other things: waste from plant tissue",109.0,180.1
2014,EAV-020104-U,"Agricultural, etc.: plastic waste (without packaging)",102.0,5.1
2014,EAV-020106-U,"Animal excretions, liquid manure/manure/stable manure",56.0,187.9
2014,EAV-020107-U,Waste from forestry,6.0,0.0
2014,EAV-020108-G,Agricultural chemical waste,43.0,0.7
2014,EAV-020109-U,Waste v. Chemistry. f.d. Agriculture(oh.020108),5.0,0.1
2014,EAV-020110-U,"Agriculture, among others: metal waste",65.0,2.5
2014,EAV-020199-U,Agriculture and others: waste not otherwise specified,16.0,2.2
2014,EAV-020201-U,Meat and others: sludge from washing and cleaning processes,43.0,11.5
2014,EAV-020202-U,"Meat, among other things: waste from animal tissue",209.0,450.1
2014,EAV-020203-U,Meat and others: For consumption/processing. unsuitable substances,243.0,329.1
2014,EAV-020204-U,Meat and others: sludge (company waste water tank),1925.0,557.3
2014,EAV-020299-U,"processing of meat, fish, etc.: waste not otherwise specified",34.0,150.4
2014,EAV-020301-U,"Fruit and others: sludge from washing, cleaning proc. i.a.",50.0,134.3
2014,EAV-020302-U,Fruit and others: waste from preservatives,,
2014,EAV-020303-U,Fruit and others: Waste from extraction with solvents,5.0,1.4
2014,EAV-020304-U,"Fruit, etc.: For consumption/processing unsuitable substances",378.0,307.0
2014,EAV-020305-U,Fruit and others: sludge (in-house waste water treatment),59.0,119.4
2014,EAV-020399-U,"Processing of fruit, vegetables, etc.: waste not otherwise specified",27.0,60.9
2014,EAV-020401-U,Sugar production: beet soil,16.0,1315.3
2014,EAV-020402-U,Sugar manufacturer: Not specific. Calcium carbonate sludge,,
2014,EAV-020403-U,Sugar production: sludge (in-house waste water tank),,
2014,EAV-020499-U,Sugar production: waste n.e.c.,5.0,40.6
2014,EAV-020501-U,Milk processing: For consumption/processing. unsuitable,75.0,63.9
2014,EAV-020502-U,Milk processing: sludge (in-house waste water treatment),37.0,127.4
2014,EAV-020599-U,Milk processing: waste n.e.c.,4.0,10.2
2014,EAV-020601-U,Bakery and confectionery: For consumption/processing. unsuitable. St.,274.0,149.5
2014,EAV-020602-U,"Baked goods, confectionery: waste from preservatives",,
2014,EAV-020603-U,"Baked goods, confectionery: sludge (own waste water treatment)",58.0,24.0
2014,EAV-020699-U,Manufacture of baked goods and confectionery: waste not otherwise specified,33.0,6.4
2014,EAV-020701-U,"Beverages: Waste from laundry, cleaning, etc.",33.0,33.0
2014,EAV-020702-U,Beverages: Waste from alcohol distillation,7.0,51.3
2014,EAV-020703-U,Beverages: Waste from chemical treatment,,
2014,EAV-020704-U,Beverages: For consumption/processing. unsuitable substances,63.0,500.1
2014,EAV-020705-U,Beverages: sludge (in-house waste water treatment),37.0,48.8
2014,EAV-020799-U,Manufacture of beverages: waste n.e.c.,22.0,286.5
2014,EAV-03,"Waste from wood processing, etc.",,
2014,EAV-030101-U,Woodworking including: bark and cork waste,26.0,496.7
2014,EAV-030104-G,"Sawdust, shavings, cuttings, wood, chipboard",39.0,6.1
2014,EAV-030105-U,"Sawdust, chips, cuttings, wood, chipboard. (oh.030104)",709.0,2778.6
2014,EAV-030199-U,"Wood processing, etc.: waste not otherwise specified",29.0,4.0
2014,EAV-030201-G,Halogen-free organic wood preservatives,,
2014,EAV-030202-G,Organochlorine wood preservatives,,
2014,EAV-030203-G,Organometallic wood preservatives,,
2014,EAV-030204-G,Inorganic wood preservatives,,
2014,EAV-030205-G,Other wood preservatives with dangerous substances,,
2014,EAV-030299-U,wood preservatives n.e.s.,,
2014,EAV-030301-U,Paper production includes: bark and wood waste,35.0,339.5
2014,EAV-030302-U,Sulphite sludge (from the recovery of cooking liquor),,
2014,EAV-030305-U,Deinking sludge from paper recycling,14.0,732.7
2014,EAV-030307-U,Mechanically separated waste (paper waste),94.0,805.5
2014,EAV-030308-U,Waste from sorting v. Paper for recycling,257.0,678.2
2014,EAV-030309-U,lime sludge waste,6.0,2.2
2014,EAV-030310-U,"Fiber waste, fiber, filler and coating sludges",132.0,1568.7
2014,EAV-030311-U,Sludge a. operational waste water treatment (oh.030310),46.0,121.2
2014,EAV-030399-U,"Paper production, among others: waste not otherwise specified",21.0,702.5
2014,EAV-04,"Waste from the leather, fur and textile industries",,
2014,EAV-040101-U,Meat scrapings and hide waste,,
2014,EAV-040102-U,Cremated glued leather,6.0,18.6
2014,EAV-040103-G,"Degreasing waste, solvent-free, non-liquid phase",,
2014,EAV-040104-U,Chromium-containing tannery broth,,
2014,EAV-040105-U,Chromium-free tannery broth,,
2014,EAV-040106-U,Slurries containing chromium,10.0,16.7
2014,EAV-040107-U,Chromium-free sludges,,
2014,EAV-040108-U,Chrome waste from tanned leather,25.0,4.9
2014,EAV-040109-U,Waste from preparation and finishing,7.0,0.1
2014,EAV-040199-U,Leather and fur industry: waste n.e.c.,8.0,2.5
2014,EAV-040209-U,"Waste from composite materials (elastomer, etc.)",78.0,25.5
2014,EAV-040210-U,Organic substances from natural materials (e.g. fats),11.0,1.5
2014,EAV-040214-G,waste from the finish with organ. solvent,3.0,0.0
2014,EAV-040215-U,Waste from the finish (without 040214),8.0,0.3
2014,EAV-040216-G,Dyes and pigments containing dangerous substances,4.0,0.0
2014,EAV-040217-U,Dyes and pigments (without 040216),9.0,0.2
2014,EAV-040219-G,Textile industry: sludge (own waste water treatment),3.0,0.0
2014,EAV-040220-U,sludge from on-site Sewage treatment (oh.040219),22.0,1.6
2014,EAV-040221-U,Waste from untreated textile fibers,42.0,11.2
2014,EAV-040222-U,Waste from processed textile fibers,244.0,58.6
2014,EAV-040299-U,Textile industry: waste n.e.c.,13.0,0.6
2014,EAV-05,"Waste from petroleum refining, natural gas purification",,
2014,EAV-050102-G,Petroleum refining: desalination sludges,,
2014,EAV-050103-G,Petroleum refining: bottom sludge from tanks,43.0,15.6
2014,EAV-050104-G,Petroleum refining: Acid alkyl sludges,,
2014,EAV-050105-G,Petroleum Refining: Oil Spills,,
2014,EAV-050106-G,Petroleum refining: oil holding.sludges a.operation process.,38.0,12.6
2014,EAV-050107-G,Petroleum refining: acid tars,,
2014,EAV-050108-G,Petroleum refining: Other teas,5.0,0.2
2014,EAV-050109-G,Petroleum refining: sludge (company wastewater tank),9.0,4.9
2014,EAV-050110-U,Sludge a. operationally appropriate Waste water tank (oh.050109),7.0,3.7
2014,EAV-050111-G,Petroleum refinery: Removal from pure fuel. with bases,,
2014,EAV-050112-G,Petroleum refining: Acidic oils,,
2014,EAV-050113-U,Petroleum refining: sludges from boiler feed water treatment.,,
2014,EAV-050114-U,Petroleum refining: waste from cooling columns,3.0,0.1
2014,EAV-050115-G,Petroleum Refining: Used filter clays,10.0,0.4
2014,EAV-050116-U,Petroleum Ref.:Sulphur. Waste from oil desulfurization,8.0,0.2
2014,EAV-050117-U,Petroleum refining: bitumen,6.0,0.2
2014,EAV-050199-U,Petroleum refining: wastes not otherwise specified,,
2014,EAV-050601-G,Coal pyrolysis: acid tars,,
2014,EAV-050603-G,Kohlepyrolyse: Andere Teere,33.0,11.4
2014,EAV-050604-U,Coal pyrolysis: Waste from cooling towers,,
2014,EAV-050699-U,Coal pyrolysis: wastes n.e.c.,,
2014,EAV-050701-G,"Natural gas cleaning, transport: mercury h. waste",,
2014,EAV-050702-U,"Natural gas cleaning, transport:Sulphurous waste",11.0,0.1
2014,EAV-050799-U,"Natural gas purification, transport: waste n.e.c.",3.0,0.0
2014,EAV-06,Waste from inorganic chemical processes,,
2014,EAV-060101-G,sulfuric acid and sulphurous acid,171.0,142.5
2014,EAV-060102-G,hydrochloric acid,40.0,7.4
2014,EAV-060103-G,Hydrofluoric acid,11.0,0.4
2014,EAV-060104-G,Phosphoric acid and phosphorous acid,33.0,0.4
2014,EAV-060105-G,Nitric acid and nitrous acid,28.0,0.9
2014,EAV-060106-G,Other acids,723.0,8.0
2014,EAV-060199-U,Acids: waste not otherwise specified,19.0,0.5
2014,EAV-060201-G,Calciumhydroxid,9.0,0.4
2014,EAV-060203-G,Ammoniumhydroxid,35.0,7.8
2014,EAV-060204-G,Sodium and potassium hydroxide,54.0,6.5
2014,EAV-060205-G,Other Bases,586.0,8.6
2014,EAV-060299-U,Bases: waste n.e.c.,6.0,0.0
2014,EAV-060311-G,Solid salts and solutions containing cyanide,18.0,0.2
2014,EAV-060313-G,Solid salts and solutions containing heavy metals,113.0,7.3
2014,EAV-060314-U,Solid salts and solutions (without 060311 and 060313),219.0,140.3
2014,EAV-060315-G,Metal oxides containing heavy metals,24.0,3.7
2014,EAV-060316-U,metal oxides (without 060315),52.0,42.5
2014,EAV-060399-U,"Salts, saline solutions, metal oxides: wastes not otherwise specified",15.0,0.3
2014,EAV-060403-G,Waste containing arsenic,8.0,0.4
2014,EAV-060404-G,Waste containing mercury,568.0,4.1
2014,EAV-060405-G,Waste containing other heavy metals,67.0,39.6
2014,EAV-060499-U,Waste containing metal n.e.c.,6.0,1.0
2014,EAV-060502-G,Sludge from on-site wastewater treatment,70.0,56.9
2014,EAV-060503-U,Sludge from company-owned Waste water tank (oh.060502),119.0,102.2
2014,EAV-060602-G,Waste containing dangerous sulfides,7.0,0.5
