Year,Sector Code,Economic Sector,EAV Code,Waste Description,Number Of Companies,Amount Of Waste Generated (1000t)
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-10,Waste from thermal processes,377.0,297.5
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-11,Waste from chemical surface treatment,962.0,74.2
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-12,Waste from mechanical shaping processes,3627.0,3679.9
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-13,Oil waste and liquid fuel waste,2816.0,81.9
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-14,"Waste from organic solvents, coolants",1422.0,11.0
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-15,"Packaging waste, absorbent masses, wipes",4820.0,627.8
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-16,Waste not included elsewhere in the inventory,2687.0,309.6
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-17,Construction and demolition waste,2678.0,1145.8
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-18,Waste from medical care,44.0,0.5
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-19,Waste from waste treatment plants e.g.,586.0,92.6
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-20,Municipal waste (household waste and similar waste),5297.0,707.5
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-99,Hazardous waste,,
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",,In total,5399.0,7291.3
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-01,Waste from the extraction of mineral resources,3.0,0.0
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-02,"Waste from agriculture, forestry, etc.",32.0,0.4
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-03,"Waste from woodworking, etc.",297.0,263.0
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-04,"Waste from the leather, fur and textile industries",42.0,3.6
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-05,"Waste from petroleum refining, natural gas purification",,
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-06,Waste from inorganic chemical processes,71.0,2.4
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-07,Waste from organic chemical processes,213.0,21.1
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",361.0,7.4
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-09,Waste from the photographic industry,17.0,0.0
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-10,Waste from thermal processes,186.0,5.8
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-11,Waste from chemical surface treatment,124.0,3.8
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-12,Waste from mechanical shaping processes,387.0,51.9
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-13,Oil waste and liquid fuel waste,279.0,42.8
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-14,"Waste from organic solvents, coolants",167.0,0.8
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-15,"Packaging waste, absorbent masses, wipes",906.0,64.5
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-16,Waste not included elsewhere in the inventory,250.0,2.1
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-17,construction and demolition waste,357.0,23.3
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-18,Waste from medical care,16.0,0.1
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-19,"Waste from waste treatment plants, etc.",75.0,2.8
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-20,Municipal waste (household waste and similar waste),1059.0,77.8
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-99,Hazardous waste,,
2010,WZ08-31-02,Manufacture Of Furniture And Other Goods,,In total,1082.0,573.6
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-01,waste from the extraction of mineral resources,3.0,0.4
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-02,"Waste from agriculture, forestry, etc.",91.0,2.6
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-03,"Waste from wood processing, etc.",6.0,0.1
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-04,"Waste from the leather, fur and textile industries",,
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-05,"Waste from petroleum refining, natural gas purification",21.0,0.2
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-06,Waste from inorganic chemical processes,54.0,8.3
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-07,Waste from organic chemical processes,68.0,2.9
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-08,"Waste from MFSU from coatings, adhesives, etc.",137.0,0.1
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-09,Waste from the photographic industry,19.0,0.0
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-10,Waste from thermal processes,51.0,6397.2
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-11,Waste from chemical surface treatment,24.0,0.2
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-12,Waste from mechanical shaping processes,86.0,7.0
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-13,waste oil and liquid fuel waste,216.0,16.9
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-14,"Waste from organic solvents, coolants",68.0,0.1
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-15,"Packaging waste, absorbents, wipes",269.0,15.0
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-16,Waste not included elsewhere in the inventory,234.0,25.4
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-17,Construction and demolition waste,242.0,1232.5
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-18,Waste from medical supplies,14.0,0.0
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-19,Waste from waste treatment plants e.g.,124.0,791.8
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-20,Municipal waste (household waste and similar waste),303.0,65.8
2010,WZ08-35-01,"Energy Supply, Water Supply",EAV-99,Hazardous waste,,
2010,WZ08-35-01,"Energy Supply, Water Supply",,In total,306.0,8566.5
2010,WZ08-45-04,Services,EAV-01,waste from the extraction of mineral resources,8.0,0.8
2010,WZ08-45-04,Services,EAV-02,"Waste from agriculture, forestry, etc.",933.0,86.9
2010,WZ08-45-04,Services,EAV-03,"Waste from woodworking, etc.",67.0,1.8
2010,WZ08-45-04,Services,EAV-04,"Waste from the leather, fur and textile industries",,
2010,WZ08-45-04,Services,EAV-05,"Waste from petroleum refining, natural gas purification",,
2010,WZ08-45-04,Services,EAV-06,Waste from inorganic chemical processes,219.0,0.5
2010,WZ08-45-04,Services,EAV-07,Waste from organic chemical processes,442.0,6.4
2010,WZ08-45-04,Services,EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",501.0,2.6
2010,WZ08-45-04,Services,EAV-09,Waste from the photographic industry,472.0,2.3
2010,WZ08-45-04,Services,EAV-10,Waste from thermal processes,39.0,2.8
2010,WZ08-45-04,Services,EAV-11,Waste from chemical surface treatment,104.0,0.7
2010,WZ08-45-04,Services,EAV-12,Waste from mechanical shaping processes,204.0,10.8
2010,WZ08-45-04,Services,EAV-13,waste oil and liquid fuel waste,657.0,30.1
2010,WZ08-45-04,Services,EAV-14,"Waste from organic solvents, coolants",257.0,6.4
2010,WZ08-45-04,Services,EAV-15,"Packaging waste, absorbent masses, wipes",2389.0,665.2
2010,WZ08-45-04,Services,EAV-16,Waste not included elsewhere in the inventory,1222.0,48.0
2010,WZ08-45-04,Services,EAV-17,construction and demolition waste,1230.0,4527.3
2010,WZ08-45-04,Services,EAV-18,Waste from medical care,832.0,202.4
2010,WZ08-45-04,Services,EAV-19,"Waste from waste treatment plants, etc.",291.0,80.3
2010,WZ08-45-04,Services,EAV-20,Municipal waste (household waste and similar waste),3063.0,1440.8
2010,WZ08-45-04,Services,EAV-99,Hazardous waste,,
2010,WZ08-45-04,Services,,In total,3080.0,7117.4
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-01,waste from the extraction of mineral resources,,
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-02,"Waste from agriculture, forestry, etc.",132.0,140.3
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-03,"Waste from wood processing, etc.",,
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-04,"Waste from the leather, fur and textile industries",,
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-05,"Waste from petroleum refining, natural gas purification",,
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-06,Waste from inorganic chemical processes,7.0,0.0
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-07,Waste from organic chemical processes,10.0,0.1
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",8.0,0.7
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-09,Waste from the photographic industry,,
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-10,Waste from thermal processes,7.0,0.2
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-11,Waste from chemical surface treatment,,
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-12,Waste from mechanical shaping processes,3.0,0.1
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-13,Oil waste and liquid fuel waste,96.0,7.0
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-14,"Waste from organic solvents, coolants",16.0,0.0
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-15,"Packaging waste, absorbents, wipes",250.0,11.7
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-16,Waste not included elsewhere in the inventory,85.0,0.8
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-17,Construction and demolition waste,93.0,5.1
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-18,Waste from medical supplies,4.0,0.5
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-19,"Waste from waste treatment plants, etc.",17.0,40.7
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-20,Municipal waste (household waste and similar waste),281.0,29.8
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-99,Hazardous waste,,
2014,WZ08-01-03,"Agriculture And Forestry, Fisheries",,In total,300.0,237.2
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-01,Waste from the extraction of mineral resources,9.0,34.9
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-02,"Waste from agriculture, forestry, etc.",15.0,0.2
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-03,"Waste from woodworking, etc.",,
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-04,"Waste from the leather, fur and textile industries",,
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-05,"Waste from petroleum refining, natural gas purification",3.0,0.4
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-06,Waste from inorganic chemical processes,17.0,6.4
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-07,Waste from organic chemical processes,14.0,0.1
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",21.0,0.1
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-09,Waste from the photographic industry,4.0,0.0
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-10,Waste from thermal processes,6.0,122.4
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-11,Waste from chemical surface treatment,5.0,0.2
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-12,Waste from mechanical shaping processes,19.0,5.7
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-13,Oil waste and liquid fuel waste,45.0,6.4
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-14,"Waste from organic solvents, coolants",14.0,0.0
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-15,"Packaging waste, absorbent masses, wipes",56.0,3.5
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-16,Waste not included elsewhere in the inventory,41.0,1.4
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-17,construction and demolition waste,48.0,905.3
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-18,Waste from medical care,,
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-19,Waste from waste treatment plants e.g.,15.0,11.5
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-20,Municipal waste (household waste and similar waste),61.0,16.4
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-99,Hazardous waste,,
2014,WZ08-05-02,Mining And Quarrying Of Stone And Earth,,In total,64.0,1115.2
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-01,Waste from the extraction of mineral resources,,
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-02,"Waste from agriculture, forestry, etc.",1021.0,4813.7
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-03,"Waste from woodworking, etc.",7.0,0.7
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-04,"Waste from the leather, fur and textile industries",3.0,0.2
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-05,"Waste from petroleum refining, natural gas purification",14.0,0.1
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-06,Waste from inorganic chemical processes,92.0,4.5
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-07,Waste from organic chemical processes,120.0,16.5
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",132.0,0.1
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-09,Waste from the photographic industry,4.0,0.0
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-10,Waste from thermal processes,48.0,54.4
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-11,Waste from chemical surface treatment,27.0,0.1
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-12,Waste from mechanical shaping processes,84.0,2.3
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-13,waste oil and liquid fuel waste,470.0,7.2
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-14,"Waste from organic solvents, coolants",123.0,0.2
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-15,"Packaging waste, absorbents, wipes",1366.0,555.2
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-16,Waste not included elsewhere in the inventory,394.0,5.3
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-17,construction and demolition waste,582.0,165.2
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-18,Waste from medical care,9.0,0.0
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-19,"Waste from waste treatment plants, etc.",195.0,64.2
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-20,Municipal waste (household waste and similar waste),1395.0,433.8
2014,WZ08-10-01,Food Industry And Tobacco Processing,EAV-99,Hazardous waste,,
2014,WZ08-10-01,Food Industry And Tobacco Processing,,In total,1481.0,6123.7
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-01,waste from the extraction of mineral resources,,
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-02,"Waste from agriculture, forestry, etc.",8.0,0.2
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-03,"Waste from woodworking, etc.",8.0,0.1
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-04,"Waste from the leather, fur and textile industries",264.0,111.9
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-05,"Waste from petroleum refining, natural gas purification",,
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-06,Waste from inorganic chemical processes,25.0,0.1
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-07,Waste from organic chemical processes,92.0,7.7
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",124.0,5.0
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-09,Waste from the photographic industry,,
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-10,Waste from thermal processes,14.0,3.7
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-11,Waste from chemical surface treatment,8.0,0.0
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-12,Waste from mechanical shaping processes,52.0,0.6
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-13,waste oil and liquid fuel waste,134.0,0.5
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-14,"Waste from organic solvents, coolants",41.0,0.1
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-15,"Packaging waste, absorbents, wipes",512.0,80.1
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-16,Waste not included elsewhere in the inventory,120.0,1.4
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-17,Construction and demolition waste,183.0,6.6
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-18,Waste from medical care,,
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-19,Waste from waste treatment plants e.g.,47.0,7.5
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-20,Municipal waste (household waste and similar waste),514.0,35.6
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-99,Hazardous waste,,
2014,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",,In total,556.0,261.3
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-01,Waste from the extraction of mineral resources,,
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-02,"Waste from agriculture, forestry, etc.",11.0,0.1
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-03,"Waste from wood processing, etc.",195.0,2918.7
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-04,"Waste from the leather, fur and textile industries",,
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-05,"Waste from petroleum refining, natural gas purification",,
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-06,Waste from inorganic chemical processes,10.0,0.1
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-07,Waste from organic chemical processes,33.0,6.6
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-08,"Waste from MFSU from coatings, adhesives, etc.",124.0,6.8
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-09,Waste from the photographic industry,,
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-10,Waste from thermal processes,147.0,183.3
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-11,Waste from chemical surface treatment,10.0,0.2
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-12,Waste from mechanical shaping processes,48.0,3.2
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-13,waste oil and liquid fuel waste,103.0,2.0
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-14,"Waste from organic solvents, coolants",23.0,0.1
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-15,"Packaging waste, absorbent masses, wipes",300.0,26.2
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-16,Waste not included elsewhere in the inventory,77.0,2.2
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-17,construction and demolition waste,173.0,40.0
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-18,Waste from medical supplies,,
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-19,Waste from waste treatment plants e.g.,38.0,52.3
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-20,Municipal waste (household waste and similar waste),345.0,27.5
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-99,Hazardous waste,,
2014,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",,In total,364.0,3269.3
2014,WZ08-17-03,Paper And Printing Trades,EAV-01,waste from the extraction of mineral resources,3.0,0.1
2014,WZ08-17-03,Paper And Printing Trades,EAV-02,"Waste from agriculture, forestry, etc.",50.0,2.4
2014,WZ08-17-03,Paper And Printing Trades,EAV-03,"Waste from wood processing, etc.",407.0,4951.2
2014,WZ08-17-03,Paper And Printing Trades,EAV-04,"Waste from the leather, fur and textile industries",10.0,12.1
2014,WZ08-17-03,Paper And Printing Trades,EAV-05,"Waste from petroleum refining, natural gas purification",,
2014,WZ08-17-03,Paper And Printing Trades,EAV-06,Waste from inorganic chemical processes,68.0,4.9
2014,WZ08-17-03,Paper And Printing Trades,EAV-07,Waste from organic chemical processes,219.0,28.5
2014,WZ08-17-03,Paper And Printing Trades,EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",665.0,45.3
2014,WZ08-17-03,Paper And Printing Trades,EAV-09,Waste from the photographic industry,333.0,4.5
2014,WZ08-17-03,Paper And Printing Trades,EAV-10,Waste from thermal processes,38.0,423.6
2014,WZ08-17-03,Paper And Printing Trades,EAV-11,Waste from chemical surface treatment,66.0,1.7
2014,WZ08-17-03,Paper And Printing Trades,EAV-12,Waste from mechanical shaping processes,144.0,6.5
2014,WZ08-17-03,Paper And Printing Trades,EAV-13,waste oil and liquid fuel waste,414.0,4.6
2014,WZ08-17-03,Paper And Printing Trades,EAV-14,"Waste from organic solvents, coolants",284.0,3.7
2014,WZ08-17-03,Paper And Printing Trades,EAV-15,"Packaging waste, absorbent masses, wipes",980.0,579.1
2014,WZ08-17-03,Paper And Printing Trades,EAV-16,Waste not included elsewhere in the inventory,319.0,5.7
2014,WZ08-17-03,Paper And Printing Trades,EAV-17,construction and demolition waste,467.0,110.1
2014,WZ08-17-03,Paper And Printing Trades,EAV-18,Waste from medical supplies,,
2014,WZ08-17-03,Paper And Printing Trades,EAV-19,"Waste from waste treatment plants, etc.",147.0,125.3
2014,WZ08-17-03,Paper And Printing Trades,EAV-20,Municipal waste (household waste and similar waste),1071.0,829.3
2014,WZ08-17-03,Paper And Printing Trades,EAV-99,Hazardous waste,,
2014,WZ08-17-03,Paper And Printing Trades,,In total,1124.0,7138.5
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-01,Waste from the extraction of mineral resources,,
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-02,"Waste from agriculture, forestry, etc.",4.0,0.0
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-03,"Waste from woodworking, etc.",,
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-04,"Waste from the leather, fur and textile industries",,
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-05,"Waste from petroleum refining, natural gas purification",21.0,31.1
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-06,Waste from inorganic chemical processes,16.0,35.3
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-07,Waste from organic chemical processes,27.0,6.3
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",12.0,0.0
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-09,Waste from the photographic industry,3.0,0.0
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-10,Waste from thermal processes,7.0,34.9
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-11,Waste from chemical surface treatment,3.0,0.4
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-12,Waste from mechanical shaping processes,26.0,6.2
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-13,Oil waste and liquid fuel waste,34.0,16.3
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-14,"Waste from organic solvents, coolants",15.0,0.3
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-15,"Packaging waste, absorbent masses, wipes",43.0,5.7
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-16,Waste not included elsewhere in the inventory,34.0,18.1
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-17,Construction and demolition waste,32.0,86.1
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-18,Waste from medical care,,
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-19,Waste from waste treatment plants e.g.,17.0,62.6
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-20,Municipal waste (household waste and similar waste),43.0,8.4
2014,WZ08-19,Coking Plant And Petroleum Processing,EAV-99,Hazardous waste,,
2014,WZ08-19,Coking Plant And Petroleum Processing,,In total,47.0,311.6
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-01,waste from the extraction of mineral resources,31.0,1802.8
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-02,"Waste from agriculture, forestry, etc.",233.0,195.3
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-03,"Waste from wood processing, etc.",60.0,24.3
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-04,"Waste from the leather, fur and textile industries",32.0,11.0
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-05,"Waste from petroleum refining, natural gas purification",26.0,10.0
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-06,Waste from inorganic chemical processes,471.0,448.2
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-07,Waste from organic chemical processes,1719.0,1710.9
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",927.0,92.9
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-09,Waste from the photographic industry,30.0,1.1
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-10,Waste from thermal processes,138.0,373.3
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-11,Waste from chemical surface treatment,194.0,50.3
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-12,Waste from mechanical shaping processes,941.0,64.9
