Year,EAV Code,Waste Source,Number Of Construction Rubble Processing Plants,Input Of Construction Rubble Processing Plants (1000t),Number Of Construction Rubble Processing Plants With Output,Output Of Construction Rubble Processing Plants (1000t)
2012,EAV-100117-U,Filter dust from co-incineration of waste (oh.100116),,,,
2012,EAV-100201-U,"Iron, steel ind.: Waste from slag processing",,,,
2012,EAV-100202-U,Iron and steel ind.: Unprocessed slag,8.0,20.6,,
2012,EAV-100501-U,"Zinc metallurgy: slag (primary, secondary smelting)",,,,
2012,EAV-100503-G,Zinc Metallurgy: Filter Dust,,,,
2012,EAV-100903-U,"Iron,steel: furnace slag",13.0,57.4,,
2012,EAV-100906-U,Casting molds and sand before casting (oh.100905),,,,
2012,EAV-100908-U,Casting molds and sand after casting (without 100907),5.0,18.4,,
2012,EAV-101008-U,Casting molds and sands after casting (without 101007),4.0,10.4,,
2012,EAV-101112-U,Glass waste (without 101111),,,,
2012,EAV-101201-U,Ceramic products: raw mixtures before firing,,,,
2012,EAV-101203-U,Ceramic products: particles and dust,,,,
2012,EAV-101208-U,"Waste from ceramic products, bricks, etc.",,,,
2012,EAV-101210-U,Solid waste from exhaust gas treatment (oh. 101209),,,,
2012,EAV-101304-U,"Waste from calcination, hydration from quicklime",,,,
2012,EAV-101311-U,"Composite waste (excluding 101309, 101310)",,,,
2012,EAV-101314-U,Concrete waste and concrete slurry,4.0,0.9,,
2012,EAV-12,Waste from mechanical shaping processes,4.0,8.0,,
2012,EAV-120101-U,Iron filings and turnings,,,,
2012,EAV-120103-U,Non-ferrous metal filings and turnings,,,,
2012,EAV-120105-U,plastic shavings and turnings,,,,
2012,EAV-120117-U,Abrasive waste (without 120116),3.0,5.1,,
2012,EAV-13,waste oil and liquid fuel waste,,,5.0,0.0
2012,EAV-130205-G,"Non-chlorinated machines, gears and. lubricating oils",,,5.0,0.0
2012,EAV-130208-G,"Other machine, gear and lubricating oils",,,,
2012,EAV-130501-G,Solid waste from grit chambers and oil/water separators,,,,
2012,EAV-15,"Packaging waste, absorbent masses, wipes",7.0,5.6,7.0,0.0
2012,EAV-150101-U,Paper and cardboard packaging,,,,
2012,EAV-150102-U,Plastic packaging,,,,
2012,EAV-150103-U,Wooden packaging,,,,
2012,EAV-15010600-U,Mixed packaging cannot be differentiated,4.0,4.7,,
2012,EAV-150107-U,Glass packaging,,,,
2012,EAV-150202-G,"Absorbent and filter materials, wipes",,,5.0,0.0
2012,EAV-150203-U,Absorption and filter materials (without 150202),,,,
2012,EAV-16,Waste not included elsewhere in the inventory,6.0,3.7,,
2012,EAV-160103-U,scrap tires,,,,
2012,EAV-160119-U,Old vehicles: plastics,,,,
2012,EAV-161104-U,Fireproof material made of metallurgical material. percent (oh.161103),5.0,3.7,,
2012,EAV-161106-U,Fireproof material a. non-metallurgical process (oh.161105),,,,
2012,EAV-17,Construction and demolition waste,2171.0,62717.8,179.0,2072.7
2012,EAV-170101-U,Concrete,1680.0,21603.5,11.0,80.2
2012,EAV-170102-U,brick,956.0,4151.1,4.0,19.2
2012,EAV-170103-U,tiles and ceramics,451.0,945.5,,
2012,EAV-170106-G,"Mixtures of o. separate fractions v. Concrete, etc.",7.0,6.1,,
2012,EAV-170107-U,"Mixtures of concrete, bricks, etc. (oh.170106)",1155.0,13687.2,20.0,192.4
2012,EAV-170201-U,Holz,33.0,26.7,11.0,3.2
2012,EAV-170202-U,Glas,3.0,0.1,,
2012,EAV-170203-U,plastic,,,,
2012,EAV-170204-G,"Glass, plastic and wood with hazardous substances",10.0,1.5,3.0,0.2
2012,EAV-170301-G,Bitumen mixtures containing coal tar,135.0,1031.5,97.0,790.8
2012,EAV-170302-U,Bitumen mixtures (without 170301),1143.0,10242.9,11.0,79.3
2012,EAV-170303-G,Coal tar and tarry products,10.0,1.0,7.0,0.3
2012,EAV-170402-U,Aluminium,,,,
2012,EAV-170403-U,Nappy,,,,
2012,EAV-170405-U,iron and Steel,,,8.0,1.6
2012,EAV-170407-U,mixed metals,3.0,0.8,4.0,1.3
2012,EAV-170411-U,Cable (without 170410),,,,
2012,EAV-170503-G,Soil and stones containing hazardous substances,8.0,12.3,,
2012,EAV-170504-U,Soil and stones (without 170503),755.0,8622.1,39.0,840.1
2012,EAV-170506-U,dredged material (without 170505),14.0,349.9,,
2012,EAV-170507-G,Track ballast containing dangerous substances,6.0,81.6,,
2012,EAV-170508-U,Track ballast (without 170507),102.0,1709.5,3.0,23.8
2012,EAV-170601-G,Insulation material containing asbestos,,,,
2012,EAV-170603-G,other insulation material,5.0,0.1,6.0,0.2
2012,EAV-170604-U,Insulating material (without 170601 and 170603),3.0,0.1,,
2012,EAV-170605-G,Building materials containing asbestos,10.0,2.3,6.0,0.2
2012,EAV-170802-U,Gypsum-based building materials (excluding 170801),60.0,28.7,14.0,2.0
2012,EAV-170903-G,Other construction and demolition waste,,,,
2012,EAV-170904-U,Mixed construction and demolition work. (oh.170901-170903),79.0,210.7,26.0,33.3
2012,EAV-19,"Waste from waste treatment plants, etc.",36.0,646.8,2150.0,60368.8
2012,EAV-190111-G,"Combustion, pyrolysis: grate, boiler ashes, slag",,,,
2012,EAV-190112-U,Grate and boiler ash as well as slag (oh.190111),9.0,419.8,3.0,177.6
2012,EAV-190113-G,"Combustion.,Pyrolysis: Filter dust with haz. St.",,,,
2012,EAV-190114-U,Filter dust (without 190113),,,,
2012,EAV-190118-U,Pyrolysis waste (without 190117),,,,
2012,EAV-19029950-U,Products resulting from waste treatment,,,3.0,162.5
2012,EAV-190503-U,Out of specification compost,,,,
2012,EAV-190801-U,Sieve and rake residues,,,,
2012,EAV-190802-U,Sand trap residue,4.0,1.7,,
2012,EAV-190903-U,Slurries from decarbonization,,,,
2012,EAV-19120100-U,"Mechanical waste treatment: paper, cardboard not diff.",,,85.0,27.4
2012,EAV-191202-U,Mechanical waste treatment: ferrous metals,4.0,4.0,769.0,173.6
2012,EAV-191203-U,Mechanical waste treatment: non-ferrous metals,,,132.0,13.9
2012,EAV-191204-U,Mechanical waste treatment: plastic and rubber,,,161.0,9.7
2012,EAV-19120500-U,Mechanical waste treatment: Glass not differentiable,,,,
2012,EAV-19120505-U,Mechanical waste treatment: mixed glass,,,,
2012,EAV-191206-G,Mechanical waste treatment: wood with hazardous substances,,,11.0,3.0
2012,EAV-191207-U,Wood (without 191206),,,307.0,82.9
2012,EAV-191208-U,Mechanical waste treatment: textiles,,,,
2012,EAV-19120900-U,"Mechanical waste treatment: minerals (sand, stones)",18.0,216.1,37.0,866.2
2012,EAV-19120901-U,Products for use in road and road building,,,1703.0,34229.6
2012,EAV-19120902-U,Products for use in other earthworks,,,1200.0,13447.7
2012,EAV-19120903-U,Products f.d. Use in concrete mixing plants,,,90.0,570.5
2012,EAV-19120904-U,products for use in asphalt mixing plants,,,312.0,6526.5
2012,EAV-19120905-U,products for other uses,,,287.0,3832.9
2012,EAV-19120906-U,Hot mix for road and path construction,,,,
2012,EAV-191210-U,Combustible waste (fuels from waste),,,,
2012,EAV-191211-G,Other waste (including material mixtures),,,,
2012,EAV-191212-U,Other waste (excluding 191211),7.0,1.6,360.0,241.8
2012,EAV-191302-U,Solid waste from soil remediation (oh.191301),,,,
2012,EAV-20,Municipal waste (household waste and similar waste),37.0,88.6,12.0,18.0
2012,EAV-200101-U,paper and cardboard,,,,
2012,EAV-200102-U,Glas,,,,
2012,EAV-200135-G,"Used electrical devices (oh.200121,200123)",,,,
2012,EAV-200137-G,Wood containing dangerous substances,,,,
2012,EAV-200138-U,Wood (without 200137),,,,
2012,EAV-200140-U,metals,,,,
2012,EAV-200201-U,Biodegradable waste,15.0,12.3,10.0,4.0
2012,EAV-200202-U,Soil and stones,8.0,15.7,,
2012,EAV-200203-U,Other non-biodegradable waste,,,,
2012,EAV-20030100-U,Mixed municipal waste cannot be differentiated,,,,
2012,EAV-20030101-U,"Household waste, commercial waste similar to household waste",,,,
2012,EAV-200303-U,street sweepings,16.0,26.6,,
2012,EAV-200306-U,Waste from sewer cleaning,3.0,1.4,,
2012,EAV-200307-U,Bulky waste,,,,
2012,EAV-200399-U,Municipal waste n.e.c.,,,,
2012,EAV-99,Hazardous waste,155.0,1136.4,120.0,801.0
2012,EAV-990000-G,Total hazardous waste,155.0,1136.4,120.0,801.0
2014,EAV-01,Waste from the extraction of mineral resources,,,,
2014,EAV-010413-U,Waste from stonemasonry and sawing work (without 010407),,,,
2014,EAV-02,"Waste from agriculture, forestry, etc.",,,,
2014,EAV-020401-U,Sugar production: beet soil,,,,
2014,EAV-03,"Waste from wood processing, etc.",,,,
2014,EAV-030310-U,"Fiber waste, fiber, filler and coating sludges",,,,
2014,EAV-05,"Waste from petroleum refining, natural gas purification",,,,
2014,EAV-050117-U,Petroleum refining: bitumen,,,,
2014,EAV-06,Waste from inorganic chemical processes,,,,
2014,EAV-060899-U,"Silicon, silicon compounds: wastes not otherwise specified",,,,
2014,EAV-10,Waste from thermal processes,29.0,193.5,,
2014,EAV-100101-U,"rust and. Boiler ash, slag, boiler stone (oh.100104)",9.0,32.2,,
2014,EAV-100117-U,Filter dust from co-incineration of waste (oh.100116),,,,
2014,EAV-100201-U,"Iron, steel ind.: Waste from slag processing",,,,
2014,EAV-100202-U,Iron and steel ind.: Unprocessed slag,5.0,11.9,,
2014,EAV-100501-U,"Zinc metallurgy: slags (first, second melting)",,,,
2014,EAV-100503-G,Zinc Metallurgy: Filter Dust,,,,
2014,EAV-100903-U,"Iron,steel: furnace slag",10.0,75.2,,
2014,EAV-100906-U,Casting molds and sand before casting (oh.100905),,,,
2014,EAV-100908-U,Casting molds and sand after casting (without 100907),7.0,20.1,,
2014,EAV-101008-U,Casting molds and sands after casting (without 101007),,,,
2014,EAV-101112-U,Glass waste (without 101111),,,,
2014,EAV-101201-U,Ceramic products: raw mixtures before firing,,,,
2014,EAV-101203-U,Ceramic products: particles and dust,,,,
2014,EAV-101208-U,"Waste from ceramic products, bricks, etc.",,,,
2014,EAV-101210-U,Solid waste from exhaust gas treatment (oh. 101209),,,,
2014,EAV-101304-U,"Waste from calcination, hydration from quicklime",,,,
2014,EAV-101311-U,"Composite waste (excluding 101309, 101310)",,,,
2014,EAV-101314-U,Concrete waste and concrete slurry,8.0,3.9,,
2014,EAV-12,Waste from mechanical shaping processes,5.0,2.8,,
2014,EAV-120101-U,Iron filings and turnings,,,,
2014,EAV-120103-U,Non-ferrous metal filings and turnings,,,,
2014,EAV-120105-U,Plastic chips and turnings,4.0,1.9,,
2014,EAV-120117-U,Abrasive waste (without 120116),,,,
2014,EAV-13,waste oil and liquid fuel waste,,,,
2014,EAV-130205-G,"Non-chlorinated machines, gears and. lubricating oils",,,,
2014,EAV-130208-G,"Other machine, gear and lubricating oils",,,,
2014,EAV-130501-G,Solid waste from grit chambers and oil/water separators,,,,
2014,EAV-15,"Packaging waste, absorbents, wipes",7.0,9.9,5.0,0.7
2014,EAV-150101-U,Paper and cardboard packaging,4.0,0.2,,
2014,EAV-150102-U,Plastic packaging,,,,
2014,EAV-150103-U,wooden packaging,,,,
2014,EAV-15010600-U,Mixed packaging cannot be differentiated,,,,
2014,EAV-150107-U,Glass packaging,,,,
2014,EAV-150202-G,"Absorbent and filter materials, wipes",,,,
2014,EAV-150203-U,Absorbent and filter materials (without 150202),,,,
2014,EAV-16,Waste not included elsewhere in the inventory,5.0,8.0,,
2014,EAV-160103-U,scrap tires,,,,
2014,EAV-160119-U,Old vehicles: plastics,,,,
2014,EAV-161104-U,Refractory mat. from metallurg. percent (oh.161103),5.0,3.3,,
2014,EAV-161106-U,Fireproof material a. non-metallurgical process (oh.161105),,,,
2014,EAV-17,construction and demolition waste,2164.0,64799.9,217.0,1851.1
2014,EAV-170101-U,Concrete,1720.0,20461.7,24.0,138.3
2014,EAV-170102-U,brick,913.0,3904.8,15.0,68.7
2014,EAV-170103-U,tiles and ceramics,433.0,1184.6,,
2014,EAV-170106-G,"Mixtures of o. separate fractions v. Concrete, etc.",7.0,7.0,,
2014,EAV-170107-U,"Mixtures of concrete, bricks, etc. (oh.170106)",1230.0,16891.5,34.0,230.0
2014,EAV-170201-U,Holz,47.0,36.7,23.0,11.6
2014,EAV-170202-U,Glas,6.0,0.7,,
2014,EAV-170203-U,plastic,,,,
2014,EAV-170204-G,"Glass, plastic and wood with hazardous substances",10.0,1.7,9.0,0.3
2014,EAV-170301-G,Bitumen mixtures containing coal tar,143.0,1048.4,84.0,461.6
2014,EAV-170302-U,Bitumen mixtures (without 170301),1089.0,8939.5,22.0,187.0
2014,EAV-170303-G,Coal tar and tar-containing products,9.0,0.4,8.0,0.5
2014,EAV-170402-U,Aluminium,,,,
2014,EAV-170403-U,Nappy,,,,
2014,EAV-170405-U,iron and Steel,10.0,4.6,16.0,4.5
2014,EAV-170407-U,mixed metals,,,3.0,2.4
2014,EAV-170411-U,Cable (without 170410),,,,
2014,EAV-170503-G,Soil and stones containing hazardous substances,6.0,19.3,,
2014,EAV-170504-U,Soil and stones (without 170503),770.0,10674.7,46.0,648.1
2014,EAV-170506-U,Dredged material (without 170505),13.0,115.7,,
2014,EAV-170507-G,Track ballast containing dangerous substances,5.0,23.9,,
2014,EAV-170508-U,Track ballast (without 170507),83.0,1282.5,7.0,40.7
2014,EAV-170601-G,Insulation material containing asbestos,,,,
2014,EAV-170603-G,other insulation material,8.0,0.1,9.0,0.2
2014,EAV-170604-U,Insulating material (without 170601 and 170603),,,3.0,0.0
2014,EAV-170605-G,Building materials containing asbestos,9.0,0.4,6.0,0.3
2014,EAV-170802-U,Gypsum-based building materials (excluding 170801),56.0,35.1,26.0,14.0
2014,EAV-170903-G,Other construction and demolition waste,,,,
2014,EAV-170904-U,Mixed construction and demolition waste (oh.170901-170903),60.0,166.4,52.0,38.7
2014,EAV-19,Waste from waste treatment plants e.g.,35.0,605.6,2131.0,62056.7
2014,EAV-190111-G,"Combustion, pyrolysis: rust, boiler ash, slag",,,,
2014,EAV-190112-U,Grate and boiler ash as well as slag (oh.190111),5.0,448.2,,
2014,EAV-190113-G,"Combustion.,Pyrolysis: Filter dust with haz. St.",,,,
2014,EAV-190114-U,Filter dust (without 190113),,,,
2014,EAV-190118-U,Pyrolysis waste (without 190117),,,,
2014,EAV-19029950-U,Products resulting from waste treatment,,,,
2014,EAV-190503-U,Out of specification compost,,,,
2014,EAV-190801-U,Sieve and rake residues,,,,
2014,EAV-190802-U,Sand trap residue,3.0,1.7,,
2014,EAV-190903-U,Slurries from decarbonization,,,,
2014,EAV-19120100-U,"Mechanical waste treatment: paper, cardboard not diff.",,,91.0,45.4
2014,EAV-191202-U,Mechanical waste treatment: ferrous metals,,,714.0,178.9
2014,EAV-191203-U,Mechanical waste treatment: non-ferrous metals,,,113.0,17.3
2014,EAV-191204-U,Mechanical waste treatment: plastic and rubber,,,110.0,22.1
2014,EAV-19120500-U,Mechanical waste treatment: Glass not differentiable,,,4.0,3.4
2014,EAV-19120505-U,Mechanical waste treatment: mixed glass,,,,
2014,EAV-191206-G,Mechanical waste treatment: wood with hazardous fabrics,,,9.0,1.8
2014,EAV-191207-U,Wood (without 191206),,,216.0,41.9
2014,EAV-191208-U,Mechanical waste treatment: textiles,,,,
2014,EAV-19120900-U,"Mechanical waste treatment: minerals (sand, stones)",18.0,136.1,27.0,727.3
2014,EAV-19120901-U,Products for use in road and road building,,,1678.0,35534.2
2014,EAV-19120902-U,Products for use in other earthworks,,,1265.0,16365.6
2014,EAV-19120903-U,Products f.d. Use in concrete mixing plants,,,65.0,294.7
2014,EAV-19120904-U,products for use in asphalt mixing plants,,,242.0,5013.6
2014,EAV-19120905-U,products for other uses,,,256.0,3011.8
2014,EAV-19120906-U,Hot mix for road and path construction,,,,
2014,EAV-191210-U,Combustible waste (fuel from waste),,,,
2014,EAV-191211-G,Other waste (including mixed materials),,,5.0,9.4
2014,EAV-191212-U,Other waste (excluding 191211),8.0,12.7,258.0,495.4
2014,EAV-191302-U,Solid waste from soil remediation (oh.191301),,,,
2014,EAV-20,Municipal waste (household waste and similar waste),50.0,132.3,14.0,25.6
2014,EAV-200101-U,paper and cardboard,,,,
2014,EAV-200102-U,Glas,,,,
2014,EAV-200135-G,"Used electrical devices (oh.200121,200123)",,,,
2014,EAV-200137-G,Wood containing dangerous substances,,,,
2014,EAV-200138-U,Wood (without 200137),,,,
2014,EAV-200140-U,metals,,,,
2014,EAV-200201-U,Biodegradable waste,17.0,21.3,9.0,8.0
2014,EAV-200202-U,Soil and stones,19.0,30.8,,
2014,EAV-200203-U,Other non-biodegradable waste,,,,
2014,EAV-20030100-U,Mixed municipal waste cannot be differentiated,,,,
2014,EAV-20030101-U,"Household waste, commercial waste similar to household waste",,,,
2014,EAV-200303-U,street sweepings,13.0,42.5,,
2014,EAV-200306-U,Waste from sewer cleaning,,,,
2014,EAV-200307-U,Bulky waste,4.0,1.4,,
2014,EAV-200399-U,Municipal waste n.e.c.,,,,
2014,EAV-99,Hazardous waste,168.0,1101.5,112.0,475.1
2014,EAV-990000-G,Total hazardous waste,168.0,1101.5,112.0,475.1
2016,EAV-01,Waste from the extraction of mineral resources,,,,
2016,EAV-010413-U,Waste from stonemasonry and sawing work (without 010407),,,,
2016,EAV-02,"Waste from agriculture, forestry, etc.",,,,
2016,EAV-020401-U,Sugar production: beet soil,,,,
2016,EAV-03,"Waste from wood processing, etc.",,,,
2016,EAV-030310-U,"Fiber waste, fiber, filler and coating sludges",,,,
2016,EAV-05,"Waste from petroleum refining, natural gas purification",,,,
2016,EAV-050117-U,Petroleum refining: bitumen,,,,
2016,EAV-06,Waste from inorganic chemical processes,,,,
2016,EAV-060899-U,"Silicon, silicon compounds: wastes not otherwise specified",,,,
2016,EAV-10,Waste from thermal processes,36.0,237.3,,
2016,EAV-100101-U,"rust and. Boiler ash, slag, boiler (oh.100104)",7.0,15.5,,
2016,EAV-100117-U,Filter dust from co-incineration of waste (oh.100116),,,,
2016,EAV-100201-U,"Iron, steel ind.: Waste from slag processing",,,,
2016,EAV-100202-U,Iron and steel ind.: Unprocessed slag,,,,
2016,EAV-100501-U,"Zinc metallurgy: slag (primary, secondary smelting)",,,,
2016,EAV-100503-G,Zinc Metallurgy: Filter Dust,,,,
2016,EAV-100903-U,"Iron,steel: furnace slag",15.0,144.9,,
2016,EAV-100906-U,Casting molds and sand before casting (oh.100905),,,,
2016,EAV-100908-U,Casting molds and sand after casting (without 100907),8.0,56.2,,
2016,EAV-101008-U,Casting molds and sands after casting (without 101007),,,,
2016,EAV-101112-U,Glass waste (without 101111),,,,
2016,EAV-101201-U,Ceramic products: raw mixtures before firing,,,,
2016,EAV-101203-U,Ceramic products: particles and dust,,,,
2016,EAV-101208-U,"Waste from ceramic products, bricks, etc.",,,,
2016,EAV-101210-U,Solid waste from exhaust gas treatment (oh. 101209),,,,
2016,EAV-101304-U,"Waste from calcination, hydration from quicklime",,,,
2016,EAV-101311-U,"Composite waste (excluding 101309, 101310)",3.0,4.5,,
2016,EAV-101314-U,Concrete waste and concrete sludge,6.0,1.5,,
2016,EAV-12,Waste from mechanical shaping processes,,,,
2016,EAV-120101-U,Iron filings and turnings,,,,
2016,EAV-120103-U,Non-ferrous metal filings and turnings,,,,
2016,EAV-120105-U,plastic shavings and turnings,,,,
2016,EAV-120117-U,Abrasive waste (without 120116),,,,
2016,EAV-13,Oil waste and liquid fuel waste,,,,
2016,EAV-130205-G,"Non-chlorinated machines, gears and. lubricating oils",,,,
2016,EAV-130208-G,"Other machine, gear and lubricating oils",,,,
2016,EAV-130501-G,Solid waste from grit chambers and oil/water separators,,,,
2016,EAV-15,"Packaging waste, absorbent masses, wipes",,,,
2016,EAV-150101-U,Paper and cardboard packaging,,,,
2016,EAV-150102-U,Plastic packaging,,,,
2016,EAV-150103-U,wooden packaging,,,,
2016,EAV-15010600-U,Mixed packaging cannot be differentiated,,,,
2016,EAV-150107-U,Glass packaging,,,,
2016,EAV-150202-G,"Absorbent and filter materials, wipes",,,,
2016,EAV-150203-U,Absorption and filter materials (without 150202),,,,
2016,EAV-16,Waste not included elsewhere in the inventory,13.0,52.7,,
2016,EAV-160103-U,scrap tires,,,,
2016,EAV-160119-U,Old vehicles: plastics,,,,
2016,EAV-161104-U,Refractory mat. from metallurg. percent (oh.161103),12.0,52.1,,
2016,EAV-161106-U,Refractory material a. non-metallurgical process (oh.161105),3.0,0.6,,
2016,EAV-17,Construction and demolition waste,2394.0,68961.9,244.0,3306.7
2016,EAV-170101-U,Concrete,1887.0,23166.7,67.0,696.8
2016,EAV-170102-U,brick,925.0,3999.4,36.0,93.2
2016,EAV-170103-U,tiles and ceramics,336.0,574.2,5.0,15.6
2016,EAV-170106-G,"Mixtures of o. separate fractions v. Concrete, etc.",5.0,0.7,,
2016,EAV-170107-U,"Mixtures of concrete, bricks, etc. (oh.170106)",1403.0,17692.5,88.0,631.2
2016,EAV-170201-U,Holz,46.0,44.1,17.0,3.6
2016,EAV-170202-U,Glas,6.0,0.9,,
2016,EAV-170203-U,plastic,,,,
2016,EAV-170204-G,"Glass, plastic and wood containing dangerous substances",11.0,3.2,7.0,0.5
2016,EAV-170301-G,Bitumen mixtures containing coal tar,124.0,957.2,68.0,500.9
2016,EAV-170302-U,Bitumen mixtures (without 170301),1097.0,10805.4,47.0,352.4
2016,EAV-170303-G,Coal tar and tar-containing products,11.0,46.6,9.0,1.2
2016,EAV-170402-U,Aluminium,,,,
2016,EAV-170403-U,Nappy,,,,
2016,EAV-170405-U,iron and Steel,14.0,2.4,23.0,24.0
2016,EAV-170407-U,Mixed metals,,,7.0,3.6
2016,EAV-170411-U,Cable (without 170410),,,,
2016,EAV-170503-G,Soil and stones containing hazardous substances,3.0,9.0,,
2016,EAV-170504-U,Soil and stones (without 170503),778.0,9613.5,61.0,747.8
2016,EAV-170506-U,dredged material (without 170505),21.0,93.2,,
2016,EAV-170507-G,Track ballast containing dangerous substances,8.0,72.2,,
2016,EAV-170508-U,Track ballast (without 170507),91.0,1629.8,13.0,169.3
2016,EAV-170601-G,Insulation material containing asbestos,,,,
2016,EAV-170603-G,Other insulation material,5.0,0.1,6.0,0.3
2016,EAV-170604-U,Insulating material (without 170601 and 170603),,,,
2016,EAV-170605-G,Building materials containing asbestos,7.0,0.4,6.0,0.4
2016,EAV-170802-U,Gypsum-based building materials (excluding 170801),42.0,29.1,27.0,18.5
2016,EAV-170903-G,Other construction and demolition waste,,,,
2016,EAV-170904-U,Mixed construction and demolition waste (oh.170901-170903),58.0,220.6,72.0,47.2
2016,EAV-19,Waste from waste treatment plants e.g.,37.0,630.4,2332.0,65826.5
2016,EAV-190111-G,"Combustion, pyrolysis: grate, boiler ashes, slag",,,,
2016,EAV-190112-U,Grate and boiler ash as well as slag (oh.190111),5.0,438.4,,
2016,EAV-190113-G,"Combustion, pyrolysis: filter dust with dangerous St.",,,,
2016,EAV-190114-U,Filter dust (without 190113),,,,
2016,EAV-190118-U,Pyrolysis waste (without 190117),,,,
2016,EAV-19029950-U,Products resulting from waste treatment,,,,
2016,EAV-190503-U,Out of specification compost,,,,
2016,EAV-190801-U,Sieve and rake residues,,,,
2016,EAV-190802-U,sand trap residues,3.0,0.4,,
2016,EAV-190903-U,Slurries from decarbonization,,,,
2016,EAV-19120100-U,"Mechanical waste treatment: paper, cardboard not diff.",,,71.0,3.0
2016,EAV-191202-U,Mechanical waste treatment: ferrous metals,,,712.0,217.2
2016,EAV-191203-U,Mechanical waste treatment: non-ferrous metals,,,101.0,13.9
2016,EAV-191204-U,Mechanical waste treatment: plastic and rubber,,,84.0,3.6
2016,EAV-19120500-U,Mechanical waste treatment: Glass cannot be differentiated,,,4.0,0.3
2016,EAV-19120505-U,Mechanical waste treatment: mixed glass,,,,
2016,EAV-191206-G,Mechanical waste treatment: wood with hazardous fabrics,,,8.0,2.1
2016,EAV-191207-U,Wood (without 191206),,,202.0,62.7
2016,EAV-191208-U,Mechanical waste treatment: textiles,,,,
2016,EAV-19120900-U,"Mechanical waste treatment: minerals (sand, stones)",26.0,120.9,32.0,934.2
2016,EAV-19120901-U,Products for use in road and road building,,,1807.0,38121.4
2016,EAV-19120902-U,Products for use in other earthworks,,,1315.0,15930.7
2016,EAV-19120903-U,products f.d. Use in concrete mixing plants,,,81.0,452.4
2016,EAV-19120904-U,Products for use in asphalt mixing plants,,,233.0,5942.4
2016,EAV-19120905-U,products for other uses,,,270.0,3630.3
2016,EAV-19120906-U,Hot mix for road and path construction,,,,
2016,EAV-191210-U,Combustible waste (fuel from waste),,,,
2016,EAV-191211-G,Other waste (including material mixtures),,,5.0,27.7
2016,EAV-191212-U,Other waste (without 191211),8.0,10.0,242.0,249.1
2016,EAV-191302-U,Solid waste from soil remediation (oh.191301),,,,
2016,EAV-20,Municipal waste (household waste and similar waste),45.0,68.3,10.0,5.4
2016,EAV-200101-U,paper and cardboard,,,,
2016,EAV-200102-U,Glas,,,,
2016,EAV-200135-G,"Used electrical devices (oh.200121,200123)",,,,
2016,EAV-200137-G,Wood containing dangerous substances,,,,
2016,EAV-200138-U,Wood (without 200137),,,,
2016,EAV-200140-U,metals,,,,
2016,EAV-200201-U,Biodegradable waste,17.0,30.1,9.0,2.8
2016,EAV-200202-U,Soil and stones,16.0,32.1,,
2016,EAV-200203-U,Other non-biodegradable waste,,,,
2016,EAV-20030100-U,Mixed municipal waste cannot be differentiated,,,,
2016,EAV-20030101-U,"Household waste, commercial waste similar to household waste",,,,
2016,EAV-200303-U,street sweepings,8.0,3.6,,
2016,EAV-200306-U,Waste from sewer cleaning,,,,
2016,EAV-200307-U,Bulky waste,3.0,1.1,,
2016,EAV-200399-U,Municipal waste n.e.c.,,,,
2016,EAV-99,Hazardous waste,150.0,1089.4,89.0,533.0
2016,EAV-990000-G,Total hazardous waste,150.0,1089.4,89.0,533.0
2018,EAV-01,Waste from the extraction of mineral resources,3.0,0.1,,
2018,EAV-010413-U,Waste from stonemasonry and sawing work (excluding 010407),3.0,0.1,,
2018,EAV-02,"Waste from agriculture, forestry, etc.",,,,
2018,EAV-020401-U,Sugar production: beet soil,,,,
2018,EAV-03,"Waste from wood processing, etc.",,,,
2018,EAV-030310-U,"Fiber waste, fiber, filler and coating sludges",,,,
2018,EAV-05,"Waste from petroleum refining, natural gas purification",,,,
2018,EAV-050117-U,Petroleum refining: bitumen,,,,
2018,EAV-06,Waste from inorganic chemical processes,,,,
2018,EAV-060899-U,"Silicon, silicon compounds: wastes not otherwise specified",,,,
2018,EAV-10,Waste from thermal processes,37.0,190.4,,
2018,EAV-100101-U,"rust and. Boiler ash, slag, boiler stone (oh.100104)",9.0,20.4,,
2018,EAV-100117-U,Filter dust from co-incineration of waste (oh.100116),,,,
2018,EAV-100201-U,Iron and steel industry: waste from slag processing,,,,
2018,EAV-100202-U,Iron and steel ind.: Unprocessed slag,,,,
2018,EAV-100501-U,"Zinc metallurgy: slags (first, second melting)",,,,
2018,EAV-100503-G,Zinc Metallurgy: Filter Dust,,,,
2018,EAV-100903-U,"Iron,steel: furnace slag",17.0,61.5,,
2018,EAV-100906-U,Casting molds and sand before casting (oh.100905),,,,
2018,EAV-100908-U,Casting molds and sand after casting (without 100907),10.0,63.8,,
2018,EAV-101008-U,Casting molds and sands after casting (without 101007),,,,
2018,EAV-101112-U,Glass waste (without 101111),,,,
2018,EAV-101201-U,Ceramic products: raw mixtures before firing,,,,
2018,EAV-101203-U,Ceramic products: particles and dust,,,,
2018,EAV-101208-U,"Waste from ceramic products, bricks, etc.",,,,
2018,EAV-101210-U,Solid waste from flue gas treatment (excluding 101209),,,,
2018,EAV-101304-U,"Waste from calcination, hydration from quicklime",,,,
2018,EAV-101311-U,"Composite waste (excluding 101309, 101310)",3.0,7.2,,
2018,EAV-101314-U,Concrete waste and concrete sludge,15.0,7.5,,
