Year,Facility Type,Waste disposal facilities,Input from waste disposal facilities (1000t),Waste produced on-site (1000t),Waste supplied from home (1000t),Waste supplied from abroad (1000t),Waste disposal facilities with output,Output from waste disposal facilities (1000t),Waste for disposal (1000t),Waste for recycling (1000t),Waste all procedures to be prepared (1000t),Handover to others (1000t)
2012,Other systems for thermal waste treatment,20.0,621.7,29.7,506.6,85.3,,145.7,58.5,77.1,,10.1
2012,combustion plants,696.0,20773.2,3527.2,16150.4,1095.6,,2838.7,701.6,1791.2,,346.0
2012,Power plants/thermal power plants,,,,,,,,,,,
2012,Other combustion systems,,,,,,,,,,,
2012,Alternative fuel power plants,60.0,5351.2,270.5,4848.7,232.1,,1212.3,378.5,804.4,,29.4
2012,Biomass power plants,133.0,8265.9,2002.6,5756.8,506.5,,922.6,213.5,614.5,,94.6
2012,Other power plants,35.0,2095.0,393.2,1606.1,95.7,,484.2,57.1,235.8,,191.2
2012,Heating plants,375.0,1258.2,673.2,558.2,26.8,,172.3,49.7,116.8,,5.8
2012,Equipment for other production purposes,93.0,3802.8,187.7,3380.6,234.5,,47.5,2.7,19.7,,25.0
2012,Chemical-physical treatment plants,551.0,9275.0,4418.4,4447.9,408.6,,3551.0,1045.2,1648.7,,857.1
2012,"Regeneration of acids and bases, solvents",60.0,394.1,167.1,222.6,4.4,,105.8,7.7,53.5,,44.6
2012,"Recovery of metals, solvents, etc.",83.0,512.5,45.3,412.7,54.5,,426.1,29.7,103.4,,293.0
2012,Volume reduction and water separation,157.0,4100.1,3096.4,993.2,10.4,,882.1,446.8,368.3,,66.9
2012,Other facilities,251.0,4268.3,1109.7,2819.4,339.3,,2137.0,560.9,1123.5,,452.6
2012,Soil treatment plants,114.0,3582.4,70.6,3462.5,49.2,,3756.5,408.0,2679.8,,668.6
2012,Biological treatment plants,2000.0,14979.8,1709.6,13156.3,113.9,,11179.8,210.8,1815.5,,9153.5
2012,Biowaste composting plants (probably biowaste),245.0,4094.3,15.8,4078.0,0.5,,2279.0,66.1,309.3,,1903.7
2012,Green waste composting plants (mainly green waste),675.0,3519.3,147.8,3335.3,36.2,,2434.2,33.5,314.1,,2086.6
2012,Combined composting and fermentation plants,962.0,5394.5,875.4,4442.0,77.1,,4874.3,42.0,395.4,,4436.9
2012,Sewage sludge composting plants,100.0,948.9,25.3,923.6,,,623.6,5.5,92.1,,526.1
2012,Other biological treatment facilities,18.0,1022.8,645.4,377.4,,,968.7,63.8,704.5,,200.3
2012,Biogas and fermentation plants,,,,,,,,,,,
2012,Mechanical-biological waste treatment plants,60.0,4265.1,80.9,4159.7,24.5,,3604.3,1128.3,2408.8,,67.2
2012,Dismantling companies for end-of-life vehicles,1368.0,489.8,,487.2,2.7,,525.1,1.0,493.8,,30.3
2012,Shredder systems and scrap shears,728.0,14466.2,405.4,13235.8,825.0,,14478.6,240.0,7436.5,,6802.1
2012,Sorting systems,1134.0,24698.4,466.3,23659.4,572.7,,24485.1,1211.5,14673.6,,8599.9
2012,Disassembly facilities,315.0,850.6,16.3,804.0,30.3,,842.0,16.2,752.4,,73.4
2012,Other treatment plants,756.0,22679.9,2424.9,18171.3,2083.8,,20200.2,1701.8,10577.2,,7921.1
2012,Other treatment plants,749.0,22239.6,2424.9,17785.3,2029.4,,19823.8,1701.7,10555.6,,7566.5
2012,Plants for recycling waste oil,7.0,440.4,,386.0,54.4,,376.4,0.1,21.7,,354.6
2012,Sewage sludge digester with CO fermentation,,,,,,,,,,,
2012,Natural materials in mining,12.0,27941.0,27941.0,,,,,,,,
2012,Waste in underground mining sites,24.0,2571.8,,2254.4,317.4,,,,,,
2012,Waste in surface mining sites,2952.0,89079.3,,88003.1,1076.2,,,,,,
2013,landfills,1131.0,45010.9,13043.5,31535.3,432.0,,1779.6,1201.1,270.5,,308.0
2013,Class 0 landfills,794.0,16604.4,3141.5,13462.9,,,141.6,75.5,4.0,,62.1
2013,Class I landfills,158.0,16665.0,7355.1,9110.2,199.6,,684.5,460.8,102.1,,121.6
2013,Class II landfills,157.0,6278.0,491.9,5491.6,294.5,,1060.4,837.9,179.9,,42.6
2013,Class III landfills,29.0,2357.8,1013.7,1267.7,76.4,,141.4,139.1,1.2,,1.0
2013,Class IV landfills,4.0,149.1,0.1,98.9,50.0,,,,,,
2013,Long-term storage,,,,,,,,,,,
2013,Thermal waste treatment plants,161.0,25303.3,1684.4,22056.4,1562.5,,7194.5,559.7,6508.4,,126.3
2013,Waste incineration plants,89.0,20817.6,209.0,19686.6,921.9,,6518.6,203.8,6183.8,,131.1
2013,Sewage sludge incineration plants,21.0,2078.9,1027.2,1012.7,38.9,,289.4,97.8,178.4,,13.2
2013,Hazardous waste incineration plants,33.0,1246.3,483.2,583.6,179.6,,253.1,199.7,51.7,,1.7
2013,Other systems for thermal waste treatment,24.0,665.1,23.7,537.2,104.2,,147.3,72.1,65.9,,9.3
2013,combustion plants,687.0,21510.4,3586.9,16452.8,1470.8,,2980.8,815.9,2002.9,,162.1
2013,Power plants/thermal power plants,,,,,,,,,,,
2013,Other combustion systems,,,,,,,,,,,
2013,Alternative fuel power plants,45.0,4740.6,246.5,4296.8,197.4,,1373.5,360.3,959.8,,53.4
2013,Biomass power plants,123.0,8323.1,2209.2,5522.1,591.8,,921.5,204.9,623.0,,93.5
2013,Other power plants,41.0,3052.6,446.6,2471.5,134.5,,412.7,35.6,231.7,,145.4
2013,Heating plants,406.0,1367.7,748.8,597.5,21.5,,167.5,43.5,120.3,,3.7
2013,Equipment for other production purposes,90.0,3812.0,215.3,3328.7,268.0,,76.4,16.0,13.6,,46.8
2013,Chemical-physical treatment plants,541.0,9357.0,4436.7,4542.1,378.2,,3800.8,1361.1,1557.4,,882.2
2013,"Regeneration of acids and bases, solvents",56.0,403.3,168.0,219.1,16.3,,95.7,23.3,41.5,,30.9
2013,"Recovery of metals, solvents, etc.",76.0,528.4,67.7,407.0,53.6,,480.7,30.9,96.9,,352.9
2013,Volume reduction and water separation,157.0,3977.9,3304.3,668.0,5.7,,952.6,311.2,640.7,,0.8
2013,Other facilities,263.0,4343.9,1161.8,2921.4,260.7,,2264.2,641.4,1179.0,,443.8
2013,Soil treatment plants,116.0,3852.7,206.5,3593.7,52.5,,3743.1,592.8,2493.7,,656.6
2013,Biological treatment plants,2387.0,15435.4,1607.6,13737.9,89.9,,11374.2,169.1,1756.7,,9448.4
2013,Biowaste composting plants (probably biowaste),241.0,3971.1,6.9,3962.2,1.9,,2152.6,80.4,332.2,,1740.0
2013,Green waste composting plants (mainly green waste),671.0,3395.6,163.3,3215.9,16.4,,2278.9,51.9,340.2,,1886.9
2013,Combined composting and fermentation plants,1439.0,5500.4,724.1,4697.7,78.7,,4734.6,30.4,426.8,,4277.3
2013,Sewage sludge composting plants,88.0,874.0,15.8,858.2,,,590.8,3.8,81.3,,505.7
2013,Other biological treatment facilities,23.0,917.0,545.2,371.8,,,765.1,14.3,622.9,,127.9
2013,Biogas and fermentation plants,,,,,,,,,,,
2013,Mechanical-biological waste treatment plants,55.0,4207.3,64.4,4106.3,36.5,,3552.3,1103.8,2421.7,,26.7
2013,Dismantling companies for end-of-life vehicles,1325.0,524.4,,520.5,3.9,,527.9,1.7,503.3,,22.9
2013,Shredder systems and scrap shears,736.0,15491.3,519.7,14065.3,906.2,,15614.4,535.3,9200.9,,5878.2
2013,Sorting systems,1126.0,25891.3,334.9,24927.5,629.0,,25422.4,1307.2,16400.5,,7714.7
2013,Disassembly facilities,305.0,839.1,9.8,781.6,47.6,,820.4,14.5,753.0,,52.9
2013,Other treatment plants,917.0,25661.4,2778.3,20836.9,2046.1,,22697.0,3019.5,11783.6,,7893.9
2013,Other treatment plants,775.0,23095.2,2909.8,18173.4,2012.0,,20540.5,2393.8,10879.1,,7267.6
2013,Plants for recycling waste oil,7.0,510.2,0.1,381.6,128.5,,430.3,1.4,23.4,,405.5
2013,Sewage sludge digester with CO fermentation,,,,,,,,,,,
2013,Natural materials in mining,18.0,27407.3,27407.3,,,,,,,,
2013,Waste in underground mining sites,22.0,2582.6,9.8,2276.4,296.4,,,,,,
2013,Waste in surface mining sites,2873.0,91766.5,1796.7,88814.6,1155.2,,,,,,
2014,landfills,1131.0,45010.9,13043.5,31535.3,432.0,,1779.6,1201.1,270.5,,308.0
2014,Class 0 landfills,802.0,18876.8,3913.7,14963.1,,,67.7,33.8,28.9,,5.0
2014,Class I landfills,142.0,16780.1,7720.6,8928.1,131.5,,683.6,387.6,42.4,,253.6
2014,Class II landfills,156.0,7037.8,634.2,6192.9,210.6,,892.5,708.7,134.4,,49.5
2014,Class III landfills,27.0,2178.0,774.9,1353.8,49.3,,135.8,71.0,64.8,,
2014,Class IV landfills,4.0,138.2,0.1,97.4,40.7,,,,,,
2014,Long-term storage,,,,,,,,,,,
2014,Thermal waste treatment plants,161.0,25303.3,1684.4,22056.4,1562.5,,7194.5,559.7,6508.4,,126.3
2014,Waste incineration plants,89.0,21540.2,177.8,20133.5,1228.9,,6549.2,155.0,6283.0,,111.3
2014,Sewage sludge incineration plants,19.0,1944.5,945.8,951.8,46.9,,281.9,139.4,138.6,,3.9
2014,Hazardous waste incineration plants,31.0,1303.8,537.3,584.2,182.3,,261.4,217.3,42.2,,1.9
2014,Other systems for thermal waste treatment,22.0,514.9,23.5,386.9,104.5,,102.1,48.1,44.6,,9.3
2014,combustion plants,687.0,21510.4,3586.9,16452.8,1470.8,,2980.8,815.9,2002.9,,162.1
2014,Power plants/thermal power plants,,,,,,,,,,,
2014,Other combustion systems,,,,,,,,,,,
2014,Alternative fuel power plants,39.0,4456.8,240.3,3911.5,305.0,,1334.9,363.3,971.1,,0.5
2014,Biomass power plants,121.0,8428.2,2067.5,5697.1,663.6,,990.6,243.5,674.4,,72.6
2014,Other power plants,45.0,3140.1,345.3,2636.4,158.4,,403.0,144.6,214.7,,43.8
2014,Heating plants,401.0,1446.6,800.3,610.8,35.6,,174.7,49.8,120.2,,4.7
2014,Equipment for other production purposes,81.0,4038.6,133.4,3597.0,308.2,,77.7,14.7,22.4,,40.5
2014,Chemical-physical treatment plants,541.0,9357.0,4436.7,4542.1,378.2,,3800.8,1361.1,1557.4,,882.2
2014,"Regeneration of acids and bases, solvents",50.0,222.0,11.2,197.0,13.7,,97.6,24.5,38.1,,35.0
2014,"Recovery of metals, solvents, etc.",77.0,625.3,200.3,331.0,93.9,,539.6,26.3,151.2,,362.1
2014,Volume reduction and water separation,151.0,3984.5,3109.6,868.3,6.5,,697.0,596.9,99.5,,0.7
2014,Other facilities,263.0,4525.3,1115.5,3145.8,264.0,,2466.6,713.5,1268.6,,484.5
2014,Soil treatment plants,116.0,3852.7,206.5,3593.7,52.5,,3743.1,592.8,2493.7,,656.6
2014,Biological treatment plants,2387.0,15435.4,1607.6,13737.9,89.9,,11374.2,169.1,1756.7,,9448.4
2014,Biowaste composting plants (probably biowaste),236.0,3880.1,67.9,3811.0,1.1,,2135.1,64.5,346.6,,1724.0
2014,Green waste composting plants (mainly green waste),648.0,3577.4,167.7,3397.5,12.2,,2551.2,31.2,285.0,,2235.0
2014,Combined composting and fermentation plants,1386.0,6135.8,809.6,5249.5,76.6,,5294.8,60.9,417.5,,4816.3
2014,Sewage sludge composting plants,84.0,876.3,25.6,850.7,,,549.4,5.5,52.8,,491.1
2014,Other biological treatment facilities,33.0,965.9,536.8,429.1,,,843.6,6.9,654.8,,182.0
2014,Biogas and fermentation plants,,,,,,,,,,,
2014,Mechanical-biological waste treatment plants,55.0,4207.3,64.4,4106.3,36.5,,3552.3,1103.8,2421.7,,26.7
2014,Dismantling companies for end-of-life vehicles,1325.0,524.4,,520.5,3.9,,527.9,1.7,503.3,,22.9
2014,Shredder systems and scrap shears,736.0,15491.3,519.7,14065.3,906.2,,15614.4,535.3,9200.9,,5878.2
2014,Sorting systems,1126.0,25891.3,334.9,24927.5,629.0,,25422.4,1307.2,16400.5,,7714.7
2014,Disassembly facilities,305.0,839.1,9.8,781.6,47.6,,820.4,14.5,753.0,,52.9
2014,Other treatment plants,917.0,25661.4,2778.3,20836.9,2046.1,,22697.0,3019.5,11783.6,,7893.9
2014,Other treatment plants,910.0,25135.1,2778.3,20449.1,1907.6,,22283.8,3018.7,11764.0,,7501.1
2014,Plants for recycling waste oil,7.0,526.3,,387.8,138.5,,413.1,0.7,19.6,,392.8
2014,Sewage sludge digester with CO fermentation,,,,,,,,,,,
2014,Natural materials in mining,18.0,27407.3,27407.3,,,,,,,,
2014,Waste in underground mining sites,22.0,2582.6,9.8,2276.4,296.4,,,,,,
2014,Waste in surface mining sites,2873.0,91766.5,1796.7,88814.6,1155.2,,,,,,
2015,landfills,1110.0,44449.1,12812.3,31092.1,544.8,,1873.5,1232.7,229.1,,411.7
2015,Class 0 landfills,787.0,18519.2,3784.9,14734.3,,,223.5,62.4,8.0,,153.2
2015,Class I landfills,138.0,16176.4,7535.0,8418.1,223.3,,605.6,351.2,47.7,,206.6
2015,Class II landfills,154.0,6961.9,820.0,5925.4,216.6,,901.0,763.6,86.1,,51.3
2015,Class III landfills,27.0,2671.1,672.3,1950.3,48.5,,,,,,
2015,Class IV landfills,4.0,120.5,0.1,64.1,56.3,,,,,,
2015,Long-term storage,,,,,,,,,,,
2015,Thermal waste treatment plants,161.0,25506.1,1673.6,22120.6,1711.9,,7334.0,658.4,6477.4,,198.2
2015,Waste incineration plants,90.0,21755.8,308.7,20069.8,1377.4,,6676.4,276.8,6222.3,,177.3
2015,Sewage sludge incineration plants,20.0,2047.5,943.5,1060.3,43.8,,297.5,131.5,156.8,,9.2
2015,Hazardous waste incineration plants,33.0,1276.0,421.3,666.3,188.4,,270.3,219.6,48.5,,2.1
2015,Other systems for thermal waste treatment,18.0,426.8,0.2,324.2,102.4,,89.8,30.4,49.8,,9.6
2015,combustion plants,668.0,22009.9,3537.7,17118.7,1353.5,,2790.2,647.6,1954.3,,188.3
2015,Power plants/thermal power plants,,,,,,,,,,,
2015,Other combustion systems,,,,,,,,,,,
2015,Alternative fuel power plants,31.0,4343.0,172.8,3885.6,284.6,,1270.4,337.5,884.4,,48.5
2015,Biomass power plants,117.0,8682.1,1946.8,6081.3,653.9,,937.6,187.6,695.7,,54.3
2015,Other power plants,45.0,3378.5,453.9,2781.4,143.2,,341.4,79.9,220.0,,41.5
2015,Heating plants,423.0,1491.7,842.5,617.2,32.0,,162.6,28.0,131.2,,3.5
2015,Equipment for other production purposes,52.0,4114.7,121.7,3753.2,239.8,,78.2,14.5,23.0,,40.6
2015,Chemical-physical treatment plants,534.0,9364.6,3931.9,5021.5,411.2,,4474.9,1194.7,2083.3,,1196.8
2015,"Regeneration of acids and bases, solvents",43.0,210.2,54.4,138.6,17.3,,111.3,23.0,36.2,,52.1
2015,"Recovery of metals, solvents, etc.",77.0,633.1,228.3,330.1,74.7,,460.7,18.8,139.9,,302.0
2015,Volume reduction and water separation,147.0,3734.2,2476.6,1250.8,6.8,,1190.5,437.7,408.7,,344.2
2015,Other facilities,267.0,4787.0,1172.6,3302.0,312.4,,2712.3,715.2,1498.6,,498.6
2015,Soil treatment plants,111.0,3668.3,197.7,3370.9,99.7,,3723.1,725.5,2331.4,,666.1
2015,Biological treatment plants,2362.0,15536.5,1645.6,13781.6,109.3,,11381.0,155.1,1747.7,,9478.1
2015,Biowaste composting plants (probably biowaste),223.0,3604.3,86.5,3517.7,0.2,,2032.5,69.8,357.9,,1604.8
2015,Green waste composting plants (mainly green waste),645.0,3767.7,154.9,3595.8,16.9,,2604.4,30.7,326.8,,2247.0
2015,Combined composting and fermentation plants,1392.0,6481.2,879.9,5509.1,92.2,,5608.4,45.5,430.3,,5132.6
2015,Sewage sludge composting plants,78.0,777.7,28.2,749.4,,,484.4,0.8,72.7,,411.0
2015,Other biological treatment facilities,24.0,905.7,496.1,409.5,,,651.2,8.4,560.1,,82.7
2015,Biogas and fermentation plants,,,,,,,,,,,
2015,Mechanical-biological waste treatment plants,55.0,4097.8,69.5,3981.7,46.6,,3399.2,1028.4,2341.9,,28.9
2015,Dismantling companies for end-of-life vehicles,1296.0,482.7,,479.6,3.1,,452.7,0.9,431.8,,20.0
2015,Shredder systems and scrap shears,729.0,15117.7,664.2,13789.5,663.9,,15149.6,330.3,8377.3,,6442.1
2015,Sorting systems,1121.0,25840.8,305.8,24957.8,577.2,,25494.6,1191.6,16933.2,,7369.7
2015,Disassembly facilities,325.0,951.4,17.9,855.7,77.8,,938.7,15.2,862.2,,61.4
2015,Other treatment plants,945.0,26289.3,3141.9,21106.9,2040.5,,22472.9,2756.5,12007.4,,7709.0
2015,Other treatment plants,938.0,25789.1,3141.6,20732.0,1915.5,,21968.8,2752.2,11984.3,,7232.3
2015,Plants for recycling waste oil,7.0,500.2,0.2,374.9,125.0,,504.1,4.2,23.1,,476.7
2015,Sewage sludge digester with CO fermentation,,,,,,,,,,,
2015,Natural materials in mining,18.0,27893.7,27893.7,,,,,,,,
2015,Waste in underground mining sites,22.0,2767.7,169.1,2253.8,344.8,,,,,,
2015,Waste in surface mining sites,2834.0,92891.7,2836.4,89085.8,969.5,,,,,,
2016,landfills,1108.0,46613.1,12169.6,33802.5,640.9,,1690.2,892.1,422.6,,375.5
2016,Class 0 landfills,798.0,20076.5,3657.8,16418.7,,,97.6,1.7,10.6,,85.4
2016,Class I landfills,131.0,16382.4,7167.9,8975.0,239.5,,513.5,189.9,86.5,,237.1
2016,Class II landfills,147.0,7119.9,670.4,6138.6,310.8,,915.1,641.3,220.9,,52.9
2016,Class III landfills,28.0,2913.4,673.2,2202.3,37.8,,,,,,
2016,Class IV landfills,4.0,120.9,0.3,67.9,52.7,,,,,,
2016,Long-term storage,,,,,,,,,,,
2016,Thermal waste treatment plants,157.0,25294.8,1751.1,21919.6,1624.1,,7169.0,758.0,6283.8,,127.1
2016,Waste incineration plants,85.0,21738.3,282.2,20094.0,1362.1,,6574.5,429.5,6040.8,,104.1
2016,Sewage sludge incineration plants,23.0,2046.3,954.7,1054.6,37.0,,288.6,106.9,171.2,,10.5
2016,Hazardous waste incineration plants,33.0,1394.6,513.5,698.4,182.7,,283.6,213.9,68.5,,1.2
2016,Other systems for thermal waste treatment,16.0,115.7,0.7,72.5,42.4,,22.2,7.7,3.3,,11.2
2016,combustion plants,601.0,22442.0,3916.1,17188.4,1337.6,,3099.3,845.7,2033.9,,219.7
2016,Power plants/thermal power plants,,,,,,,,,,,
2016,Other combustion systems,,,,,,,,,,,
2016,Alternative fuel power plants,32.0,4533.8,166.3,4101.0,266.5,,1288.7,255.2,1021.8,,11.6
2016,Biomass power plants,112.0,8619.8,2379.5,5569.6,670.8,,866.0,182.0,620.0,,63.9
2016,Other power plants,46.0,3277.1,390.3,2765.6,121.1,,716.7,372.0,236.3,,108.4
2016,Heating plants,350.0,1476.9,828.4,623.3,25.3,,156.7,23.0,132.9,,0.8
2016,Equipment for other production purposes,61.0,4534.5,151.7,4128.9,253.9,,71.3,13.5,22.9,,34.9
2016,Chemical-physical treatment plants,495.0,6958.8,2099.3,4407.8,451.7,,3421.0,785.8,1726.1,,909.0
2016,"Regeneration of acids and bases, solvents",44.0,233.2,68.1,152.9,12.3,,97.5,26.9,40.9,,29.8
2016,"Recovery of metals, solvents, etc.",77.0,622.4,276.5,300.4,45.5,,411.2,10.7,150.9,,249.7
2016,Volume reduction and water separation,134.0,1478.7,325.3,1149.8,3.5,,633.6,194.9,426.1,,12.6
2016,Other facilities,240.0,4624.5,1429.5,2804.7,390.4,,2278.6,553.4,1108.3,,616.9
2016,Soil treatment plants,113.0,3766.3,214.4,3518.7,33.2,,3545.5,799.4,2236.5,,509.6
2016,Biological treatment plants,1256.0,15612.8,2010.8,13499.9,102.1,,10938.5,152.4,1706.1,,9079.9
2016,Biowaste composting plants (probably biowaste),214.0,3567.3,113.3,3453.7,0.3,,2004.3,65.8,284.3,,1654.3
2016,Green waste composting plants (mainly green waste),635.0,3938.6,241.6,3678.0,19.0,,2742.8,23.9,406.9,,2312.0
2016,Combined composting and fermentation plants,49.0,1453.6,50.5,1402.5,0.5,,1043.4,23.9,165.2,,854.2
2016,Sewage sludge composting plants,82.0,728.2,4.8,723.3,,,536.5,0.7,72.5,,463.3
2016,Other biological treatment facilities,30.0,780.6,398.9,380.5,1.2,,550.4,0.6,457.1,,92.7
2016,Biogas and fermentation plants,246.0,5144.6,1201.6,3861.9,81.0,,4061.0,37.5,320.1,,3703.4
2016,Mechanical-biological waste treatment plants,55.0,3947.9,52.1,3820.1,75.6,,3294.0,790.4,2466.8,,36.9
2016,Dismantling companies for end-of-life vehicles,1274.0,429.4,,424.9,4.5,,426.1,1.4,407.3,,17.4
2016,Shredder systems and scrap shears,734.0,14806.5,605.6,13602.8,598.1,,14812.1,314.4,8705.3,,5792.4
2016,Sorting systems,1113.0,26170.8,386.6,25181.0,603.2,,25763.7,1113.1,16710.1,,7940.5
2016,Disassembly facilities,338.0,1020.9,15.6,943.9,61.4,,1004.8,8.5,951.4,,45.0
2016,Other treatment plants,957.0,27673.7,2729.5,23004.6,1939.6,,24179.3,3491.3,12884.0,,7804.0
2016,Other treatment plants,809.0,26618.0,2714.1,22099.2,1804.7,0.0,23820.2,3488.0,12870.6,,7461.7
2016,Plants for recycling waste oil,7.0,464.1,,342.0,122.1,,359.1,3.3,13.4,,342.3
2016,Sewage sludge digester with CO fermentation,141.0,591.6,15.4,563.4,12.8,,,,,,
2016,Natural materials in mining,17.0,24346.9,24346.9,,,,,,,,
2016,Waste in underground mining sites,22.0,2928.8,193.2,2433.5,302.1,,,,,,
2016,Waste in surface mining sites,2813.0,99147.1,2843.9,95397.3,905.8,,,,,,
2017,landfills,1082.0,46094.3,11579.6,33879.6,635.2,,1384.6,853.7,422.0,,108.9
2017,Class 0 landfills,777.0,19364.8,3605.9,15758.9,,,39.2,1.3,,,37.9
2017,Class I landfills,131.0,16506.9,6804.1,9427.6,275.2,,380.0,112.1,237.2,,30.7
2017,Class II landfills,144.0,7212.8,656.8,6304.5,251.6,,924.1,699.0,184.8,,40.2
2017,Class III landfills,26.0,2899.9,512.7,2327.1,60.2,,41.3,41.3,0.0,,
2017,Class IV landfills,4.0,109.9,0.2,61.5,48.2,,,,,,
2017,Long-term storage,,,,,,,,,,,
2017,Thermal waste treatment plants,156.0,25119.4,1623.7,22019.1,1476.6,,6992.1,458.3,6412.9,,120.9
2017,Waste incineration plants,84.0,21585.0,158.9,20174.2,1251.9,0.0,6450.5,157.8,6194.3,,98.4
2017,Sewage sludge incineration plants,23.0,2068.9,956.1,1064.7,48.2,,268.7,97.9,150.5,,20.3
2017,Hazardous waste incineration plants,33.0,1352.6,508.8,704.7,139.1,,253.5,196.9,54.8,,1.8
2017,Other systems for thermal waste treatment,16.0,112.9,0.0,75.5,37.4,,19.4,5.7,13.3,,0.4
2017,combustion plants,551.0,22747.9,3917.2,17449.7,1381.0,,3122.9,1003.4,1937.9,,181.6
2017,Power plants/thermal power plants,,,,,,,,,,,
2017,Other combustion systems,,,,,,,,,,,
2017,Alternative fuel power plants,33.0,4716.0,193.4,4249.8,272.8,,1326.6,400.4,911.6,,14.6
2017,Biomass power plants,110.0,8710.4,2322.9,5621.9,765.6,,844.6,200.4,628.6,,15.6
2017,Other power plants,42.0,3104.1,462.0,2552.9,89.2,,722.5,365.8,241.2,,115.5
2017,Heating plants,305.0,1442.0,781.7,634.9,25.4,,155.8,22.6,132.6,,0.6
2017,Equipment for other production purposes,61.0,4775.4,157.2,4390.2,228.1,,73.3,14.1,23.9,,35.3
2017,Chemical-physical treatment plants,466.0,6611.7,2194.9,3977.1,439.7,,3281.4,815.6,1543.4,,922.3
2017,"Regeneration of acids and bases, solvents",44.0,373.5,216.5,145.0,12.0,,97.9,26.5,40.3,,31.2
2017,"Recovery of metals, solvents, etc.",74.0,581.8,240.6,284.3,57.0,,414.3,10.1,140.7,,263.6
2017,Volume reduction and water separation,124.0,1350.9,640.5,706.7,3.7,,546.7,158.0,382.6,,6.1
2017,Other facilities,224.0,4305.5,1097.3,2841.2,367.0,,2222.4,621.0,979.9,,621.5
2017,Soil treatment plants,110.0,3823.2,224.4,3578.6,20.1,,3698.7,779.6,2479.1,,440.0
2017,Biological treatment plants,1242.0,15819.3,2239.2,13522.9,57.1,,10808.2,211.9,1981.8,,8614.5
2017,Biowaste composting plants (probably biowaste),213.0,3639.3,122.1,3516.6,0.6,,1903.4,77.3,323.6,,1502.4
2017,Green waste composting plants (mainly green waste),631.0,3912.4,211.3,3693.8,7.3,,2774.5,55.0,395.1,,2324.4
2017,Combined composting and fermentation plants,49.0,1521.4,71.1,1449.2,1.1,,959.6,32.0,165.0,,762.5
2017,Sewage sludge composting plants,76.0,639.5,3.9,635.7,,,426.2,0.6,46.9,,378.7
2017,Other biological treatment facilities,25.0,992.6,622.6,369.6,0.4,,792.7,1.5,706.5,,84.7
2017,Biogas and fermentation plants,248.0,5113.9,1208.2,3858.0,47.8,,3951.9,45.5,344.6,,3561.8
2017,Mechanical-biological waste treatment plants,52.0,3823.0,43.8,3749.7,29.5,,3242.0,747.6,2423.2,,71.2
2017,Dismantling companies for end-of-life vehicles,1257.0,540.5,,536.5,4.0,,516.8,0.8,496.1,,19.8
2017,Shredder systems and scrap shears,744.0,15579.5,462.2,14557.0,560.3,,15347.1,226.8,8651.1,,6469.1
2017,Sorting systems,1103.0,26108.7,303.1,25074.3,731.4,,25555.3,1107.9,16604.5,,7842.8
2017,Disassembly facilities,337.0,1033.2,8.8,952.7,71.7,,1003.0,10.3,929.2,,63.5
2017,Other treatment plants,975.0,28203.9,3211.3,22885.7,2106.9,,24245.6,3430.2,12863.0,,7952.4
2017,Other treatment plants,821.0,27032.2,3155.5,21917.3,1959.4,,23882.3,3428.0,12847.9,,7606.5
2017,Plants for recycling waste oil,7.0,495.2,,363.1,132.1,,363.3,2.2,15.1,,346.0
2017,Sewage sludge digester with CO fermentation,147.0,676.5,55.8,605.3,15.4,,,,,,
2017,Natural materials in mining,17.0,27445.5,27445.5,,,,,,,,
2017,Waste in underground mining sites,22.0,3031.8,177.9,2576.2,277.7,,,,,,
2017,Waste in surface mining sites,2737.0,95363.2,3299.1,91147.7,916.4,,,,,,
2018,landfills,1052.0,45708.2,10455.7,34646.2,606.2,,1403.4,563.0,712.3,,128.1
2018,Class 0 landfills,756.0,18856.3,2484.6,16371.7,,,295.1,0.0,243.1,,51.9
2018,Class I landfills,122.0,16503.6,6922.9,9361.0,219.6,,449.3,122.5,274.9,,51.9
2018,Class II landfills,144.0,7401.8,622.7,6538.1,241.0,,623.9,405.3,194.3,,24.3
2018,Class III landfills,26.0,2824.0,425.2,2305.7,93.0,,35.2,35.1,0.0,,
2018,Class IV landfills,4.0,122.5,0.3,69.7,52.5,,,,,,
2018,Long-term storage,,,,,,,,,,,
2018,Thermal waste treatment plants,157.0,24986.9,1559.8,22106.8,1320.3,,6841.1,511.6,6115.7,,213.7
2018,Waste incineration plants,85.0,21499.8,157.1,20202.7,1140.0,,6270.1,217.1,5861.2,,191.9
2018,Sewage sludge incineration plants,23.0,2104.5,918.8,1130.5,55.2,,272.8,83.0,169.1,,20.7
2018,Hazardous waste incineration plants,31.0,1299.5,483.5,706.5,109.5,,277.4,204.5,72.9,,0.1
2018,Other systems for thermal waste treatment,18.0,83.1,0.4,67.1,15.6,,20.7,7.0,12.6,,1.1
2018,combustion plants,504.0,22805.4,4024.4,17420.6,1360.4,,3105.4,941.2,2039.0,,125.1
2018,Power plants/thermal power plants,,,,,,,,,,,
2018,Other combustion systems,,,,,,,,,,,
2018,Alternative fuel power plants,34.0,4783.3,266.6,4277.7,239.1,,1336.5,315.7,1008.1,,12.7
2018,Biomass power plants,103.0,8568.8,2339.0,5424.3,805.5,,789.4,191.3,576.9,,21.1
